БАНК АВАНГАРД,АТ "БАНК АВАНГАРД",АВАНГАРД
БАНК АЛЬЯНС,АТ "БАНК АЛЬЯНС",ПАТ "БАНК АЛЬЯНС",АЛЬЯНС
МЕГАБАНК,АТ "МЕГАБАНК",АТ "МЕГАБАНК",ПАТ "МЕГАБАНК",АТ "МЕГАБАНК"
УКРСОЦБАНК,УКРСОЦБАНК,ПАТ "УКРСОЦБАНК",АТ "УКРСОЦБАНК"
АЙБОКС БАНК,АТ "АЙБОКС БАНК",АТ "АЙБОКС БАНК",ПАТ "АЙБОКС БАНК",АЙБОКС,АГРАРНИЙ КОМЕРЦІЙНИЙ БАНК,АГРОКОМБАНК,"ПАТ ""АГРОКОМБАНК""",АГРОКОМБАНК
АКОРДБАНК,АКОРДБАНК,"ПуАТ "КБ "АКОРДБАНК"
АЛЬПАРІ БАНК,АЛЬПАРІ БАНК,АТ "АЛЬПАРІ БАНК",ПАТ "АЛЬПАРІ БАНК",АЛЬПАРІ
СЕНС БАНК,АЛЬФА-БАНК,АЛЬФА-БАНК,АТ "АЛЬФА-БАНК",ПАТ "АЛЬФА-БАНК",АЛЬФА,"АТ ""СЕНС БАНК""",СЕНС
АСВІО БАНК,АСВІО БАНК,ПАТ "АСВІО БАНК",АТ "АСВІО БАНК",АСВІО,ПРИВАТІНВЕСТ,"""ПРИВАТІНВЕСТ""",ПРИВАТІНВЕСТ
БАНК 3/4,БАНК 3/4,АТ "БАНК 3/4",АТ "БАНК 3/4" *",ПАТ "БАНК 3/4",3/4
БАНК БОГУСЛАВ,БАНК БОГУСЛАВ,АТ "БАНК БОГУСЛАВ",БОГУСЛАВ
БАНК ВОСТОК,БАНК ВОСТОК,ПАТ "БАНК ВОСТОК",ВОСТОК
БАНК ГРАНТ,БАНК ГРАНТ,АТ "БАНК "ГРАНТ",ПАТ "БАНК "ГРАНТ",ГРАНТ
БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,АТ "БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",ПАТ "БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ",БАНК ІНВЕСТ. ТА ЗАОЩАДЖЕНЬ
БАНК КРЕДИТ ДНІПРО,БАНК КРЕДИТ ДНІПРО,АТ "БАНК КРЕДИТ ДНІПРО",ПАТ "БАНК КРЕДИТ ДНІПРО",ДНІПРО
БАНК ПОРТАЛ,АТ "БАНК "ПОРТАЛ",ПАТ "БАНК "ПОРТАЛ",ПОРТАЛ
БАНК СІЧ,БАНК СІЧ,АТ "БАНК СІЧ",ПАТ "БАНК СІЧ",СІЧ
БАНК УКРАЇНСЬКИЙ КАПІТАЛ,БАНК УКРАЇНСЬКИЙ КАПІТАЛ,АТ "БАНК "УКРАЇНСЬКИЙ КАПІТАЛ",ПАТ "БАНК "УКРАЇНСЬКИЙ КАПІТАЛ",ПАТ"БАНК "УКРАЇН.КАПІТАЛ",УКРАЇН.КАПІТАЛ
БМ БАНК,БМ БАНК,АТ "БМ БАНК",БМ
БТА БАНК,БТА БАНК,ПАТ "БТА Банк",АТ "БТА БАНК",БТА
ВЕКТОР БАНК,ВЕКТОР БАНК,ПАТ "ВЕКТОР БАНК",ВЕКТОР
ВЕРНУМ БАНК,ВЕРНУМ БАНК,АТ "ВЕРНУМ БАНК",ПАТ "ВЕРНУМ БАНК",ВЕРНУМ,Д-М Банк
ВТБ БАНК,ВТБ БАНК,АТ "ВТБ БАНК",ПАТ "ВТБ БАНК",ВТБ
ГЛОБУС,ПАТ "КБ "ГЛОБУС",АТ "КБ "ГЛОБУС",ГЛОБУС
ДОЙЧЕ БАНК ДБУ,ДОЙЧЕ БАНК ДБУ,АТ "Дойче Банк ДБУ",ПАТ "Дойче Банк ДБУ",ДОЙЧЕ
ЕКСПРЕС-БАНК,ЕКСПРЕС-БАНК,"АБ "ЕКСПРЕС-БАНК",ЕКСПРЕС
ЗЕМЕЛЬНИЙ КАПІТАЛ,АТ "КБ "ЗЕМЕЛЬНИЙ КАПІТАЛ",ПАТ "КБ "ЗЕМЕЛЬНИЙ КАПІТАЛ"
ІДЕЯ БАНК,ІДЕЯ БАНК,АТ "Ідея Банк",ПАТ "Ідея Банк",Ідея,ПЛЮС БАНК
ІНГ БАНК УКРАЇНА,АТ "ІНГ Банк Україна",ПАТ "ІНГ Банк Україна",ІНГ
ІНДУСТРІАЛБАНК,IНДУСТРІАЛБАНК,"АКБ "ІНДУСТРІАЛБАНК",IНДУСТРІАЛБАНК
КЛІРИНГОВИЙ ДІМ,"АБ "КЛІРИНГОВИЙ ДІМ",КЛІРИНГОВИЙ
КОМІНВЕСТБАНК,КОМІНВЕСТБАНК,АТ "КОМІНВЕСТБАНК",АТ "КОМІНВЕСТБАНК" *",ПАТ "КОМІНВЕСТБАНК",КООПІНВЕСТБАНК
КОНКОРД,ПАТ "АКБ "КОНКОРД",АТ "АКБ "КОНКОРД"
КРЕДІ АГРІКОЛЬ БАНК,КРЕДІ АГРІКОЛЬ БАНК,АТ "КРЕДІ АГРІКОЛЬ БАНК",ПАТ "КРЕДІ АГРІКОЛЬ БАНК",КРЕДІ АГРІКОЛЬ,IНДЕКС-БАНК
КРЕДИТ ЄВРОПА БАНК,КРЕДИТ ЄВРОПА БАНК,АТ "КРЕДИТ ЄВРОПА БАНК",АТ "КРЕДИТ ЄВРОПА БАНК" *",ПАТ "КРЕДИТ ЄВРОПА БАНК",КРЕДИТ ЄВРОПА
КРЕДИТВЕСТ БАНК,КРЕДИТВЕСТ БАНК,АТ "КРЕДИТВЕСТ БАНК",ПАТ "КРЕДИТВЕСТ БАНК",КРЕДИТВЕСТ
КРЕДОБАНК,КРЕДOБАНК,АТ "КРЕДОБАНК",ПАТ "КРЕДОБАНК",КРЕДOБАНК
КРИСТАЛБАНК,КРИСТАЛБАНК,АТ "КРИСТАЛБАНК",ПАТ "КРИСТАЛБАНК"
ЛЬВІВ,"АКБ "Львів",АТ АКБ "Львів",ПАТ АКБ "Львів"
МЕТАБАНК,МЕТАБАНК,АТ "МетаБанк","МЕТАЛУРГ",МЕТАЛУРГ
МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,ПАТ "МІБ",АТ "МІБ",МІБ
МІСТО БАНК,МІСТО-БАНК,АТ  "Місто Банк",МІСТО
МОТОР-БАНК,МОТОР БАНК,АТ "МОТОР-БАНК",ПАТ "МОТОР-БАНК",МОТОР
ОКСІ БАНК,ОКСІ БАНК,АТ "ОКСІ БАНК",ПАТ "ОКСІ БАНК",ОКСІ,ГАЛС,"""ГАЛС"""
ОТП БАНК,ОТП БАНК,АТ "ОТП БАНК",ОТП
ОЩАДБАНК,ОЩАДБАНК,АТ "Ощадбанк",АТ "Ощадбанк" **",АТ "ОЩАДБАНК"
ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,АТ "ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК"
ПІРЕУС БАНК МКБ,ПІРЕУС БАНК МКБ,АТ "ПІРЕУС БАНК МКБ",ПІРЕУС
ПОЛТАВА - БАНК,ПАТ "Полтава-банк",АТ "Полтава-банк",ПОЛТАВА
ПРАВЕКС-БАНК,ПРАВЕКС-БАНК,АТ "ПРАВЕКС БАНК",ПАТКБ "ПРАВЕКС-БАНК",ПРАВЕКС
ПРИВАТБАНК,АТ КБ "ПРИВАТБАНК",ПАТ КБ "ПРИВАТБАНК"
ПРОКРЕДИТ БАНК,ПРОКРЕДИТ БАНК,АТ "ПРОКРЕДИТ БАНК",ПРОКРЕДИТ
ПРОМІНВЕСТБАНК,ПАТ "Промінвестбанк",ПАТ "Промінвестбанк" *"
ПУМБ,АТ "ПУМБ",ПАТ "ПУМБ","ПАT "ПУМБ",ПЕРШИЙ УКР.МІЖНАРОДНИЙ БАНК
РАДАБАНК,РАДАБАНК,АТ "АБ "РАДАБАНК",ПАТ "АБ "РАДАБАНК"
РАЙФФАЙЗЕН БАНК АВАЛЬ,АТ "Райффайзен Банк",АТ "Райффайзен Банк Аваль",РАЙФФАЙЗЕН
РВС БАНК,АТ "РВС БАНК",ПАТ "РВС БАНК","РВС БАНК",РВС,ПАТ "ПЕРЕХІДНИЙ БАНК "РВС БАНК"
РОЗРАХУНКОВИЙ ЦЕНТР,ПАТ "РОЗРАХУНКОВИЙ ЦЕНТР"
СБЕРБАНК,ПАТ "СБЕРБАНК",АТ "СБЕРБАНК",МР БАНК,"АТ ""МР БАНК"" *","АТ ""МР БАНК""",МР
СІТІБАНК,СІТІБАНК,АТ "СІТІБАНК",ПАТ "СІТІБАНК"
СКАЙ БАНК,АТ "СКАЙ БАНК",ПАТ "СКАЙ БАНК",РЕГІОН-БАНК,РЕГІОН-БАНК,АТ "РЕГІОН-БАНК"
ТАСКОМБАНК,АТ "ТАСКОМБАНК"
УКРБУДІНВЕСТБАНК,УКРБУДІНВЕСТБАНК,АТ "УКРБУДІНВЕСТБАНК"
УКРГАЗБАНК,"УКРГАЗБАНК","АБ "УКРГАЗБАНК"
УКРЕКСІМБАНК,УКРЕКСІМБАНК,АТ "Укрексімбанк",АТ "Укрексімбанк" **"
УКРСИББАНК,УКРСИББАНК,АТ "УКРСИББАНК",АТ "УкрСиббанк"
УНІВЕРСАЛ БАНК,УНІВЕРСАЛ БАНК,АТ "УНІВЕРСАЛ БАНК",ПАТ "УНІВЕРСАЛ БАНК"
ФІДОБАНК,"ФІДОБАНК","ПУАТ "ФІДОБАНК","ПУАТ "ФІДОБАНК" лік. 18.07.2016",СЕБ КОРПОРАТИВНИЙ БАНК,СЕБ КОРПОРАТИВНИЙ БАНК,АТ "СЕБ КОРПОРАТИВНИЙ БАНК",ПАТ"СЕБ КОРПОРАТИВНИЙ БАНК",СЕБ
"ФІНБАНК",ФІНБАНК,ПАТ "ФІНБАНК",ПАТ "ФІНБАНК" лік. 27.04.2017"
ПРОФІНБАНК,ПРОФІН БАНК
ЮНЕКС БАНК,ЮНЕКС БАНК,АТ "ЮНЕКС БАНК",АТ "ЮНЕКС БАНК",АТ "ЮНЕКС БАНК" м. Київ",ПАТ "ЮНЕКС БАНК" м. Київ"
"ТРАСТ",БАНК ТРАСТ,ПАТ БАНК "ТРАСТ",ТРАСТ
"Траст-капітал",АТ "БАНК ТРАСТ-КАПІТАЛ","ТРАСТ-КАПІТАЛ"
ІНВЕСТИЦІЙНО-ТРАСТОВИЙ БАНК,ІНВЕСТИЦІЙНО-ТРАСТ.БАНК
ПЕТРОКОММЕРЦ-УКРАЇНА,БАНК ПЕТРОКОММЕРЦ-УКРАЇНА
РАДИКАЛ БАНК
УКРАЇНСЬКА ФІНАНСОВА ГРУПА
ДОНГОРБАНК
БАНК МИХАЙЛІВСЬКИЙ,ПАТ "МИХАЙЛІВСЬКИЙ" лік 12.07.2016,ПАТ "БАНК МИХАЙЛІВСЬКИЙ"
"ОЛІМПІЙСЬКА УКРАЇНА",ОЛІМПІЙСЬКА УКРАЇНА
Діамантбанк,"ДІАМАНТ",ДІАМАНТ,ПАТ "ДІАМАНТБАНК",ДІАМАНТБАНК
ФОРТУНА БАНК,АТ "ФОРТУНА-БАНК",ФОРТУНА-БАНК
КСГ БАНК,ПАТ "КСГ БАНК",ЄВРОПЕЙСЬКИЙ БАНК РАЦІОН.ФІНАНС.
СХІДНОЄВРОПЕЙСЬКИЙ БАНК
ФІНАНСОВИЙ ПАРТНЕР,"ФІНАНСОВИЙ ПАРТНЕР",ПАТ КБ "ФІНАНСОВИЙ ПАРТНЕР",ФІНАНСОВИЙ ПАРТНЕР
ФІНАНСИ ТА КРЕДИТ,"ФІНАНСИ ТА КРЕДИТ",БАНК ФІНАНСИ ТА КРЕДИТ
"УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ"
ФІНАНСОВИЙ СОЮЗ БАНК
"ФІНАНСОВА ІНІЦІАТИВА",ПАТ КБ "ФІНАНСОВА ІНІЦІАТИВА"
ПРОМИСЛОВО-ФІНАНСОВИЙ БАНК
ЕКСПОБАНК
КАЛІОН БАНК УКРАЇНА
КРЕДИТПРОМБАНК
СОЮЗ,"СОЮЗ"
ПІВДЕННИЙ,Акціонерний банк "Південний","ПІВДЕННИЙ","Акціонерний банк""Південний"""
ЕНЕРГОБАНК
КРЕДИТ ОПТИМА БАНК,ПАТ "КРЕДИТ ОПТИМА БАНК","КРЕДИТ - ОПТИМА"
"ІНВЕСТБАНК",ПАТ КБ "ІНВЕСТБАНК","ПАТ ""КБ ""Інвестбанк"""
КИЇВ,"""КИЇВ""",КИЇВ
КИЇВСЬКА РУСЬ,"КИЇВСЬКА РУСЬ",БАНК КИЇВСЬКА РУСЬ,"""КИЇВСЬКА РУСЬ""",КИЇВСЬКА РУСЬ
СТАРОКИЇВСЬКИЙ БАНК
БАНК КАМБІО,"КАМБІО"
АРКАДА,"АРКАДА","ПАТ АКБ ""АРКАДА""","АТ АКБ ""АРКАДА""",АРКАДА
ФОРУМ,"ФОРУМ",БАНК ФОРУМ
НАЦІОНАЛЬНИЙ КРЕДИТ,"НАЦІОНАЛЬНИЙ КРЕДИТ",БАНК НАЦІОНАЛЬНИЙ КРЕДИТ
КАПІТАЛ,"КАПІТАЛ",КАПІТАЛ
НК БАНК,"АТ ""НК БАНК""",АТ "НК БАНК",БАНК НАРОДНИЙ КАПІТАЛ,БАНК НАРОДНИЙ КАПIТАЛ
БАНК РЕНЕСАНС КАПІТАЛ
УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,"АТ ""Український банк реконструкції та розвитку""",АТ "Український банк реконструкції та розвитку",Укр.банк реконстр.та розв.
УКРАЇНСЬКИЙ ПРОФЕСІЙНИЙ БАНК
ВСЕУКРАЇНСЬКИЙ БАНК РОЗВИТКУ
"БІГ ЕНЕРГІЯ"
"ВОЛОДИМИРСЬКИЙ"
ПІВДЕНКОМБАНК,"ПІВДЕНКОМБАНК","""ПІВДЕНКОМБАНК"""
БАНК СОФІЙСЬКИЙ
БАНК МОРСЬКИЙ,"МОРСЬКИЙ"
БАНК ТАВРИКА,"ТАВРИКА",БАНК ТАВРИКА
УКРБІЗНЕСБАНК,УКРАЇНСЬКИЙ БІЗНЕС БАНК,УКРАЇНСЬКИЙ БІЗНЕС БАНК
БАНК МЕРКУРІЙ,"МЕРКУРІЙ"
НАДРА,"НАДРА"
БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ,"HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ",БАНК HАЦІОНАЛЬНІ ІНВЕСТИЦІЇ
БАНК ФОРВАРД,"ПАТ ""БАНК ФОРВАРД""","АТ ""БАНК ФОРВАРД""",БАНК РУСКИЙ СТАНДАРТ,РУСКИЙ
НОВИЙ,"АКБ ""НОВИЙ""",НОВИЙ
ЗЕМЕЛЬНИЙ БАНК
ДІАПАЗОН-МАКСИМУМ БАНК,ДІАПАЗОН-МАКСИМУМ БАНК
АВТОКРАЗБАНК
ФІНЕКСБАНК,ПАТ ""ФІНЕКСБАНК"""
"ПАТ""ПЕРЕХІДН.БАНК",ПЕРЕХІДН
АГРОПРОСПЕРІС БАНК," АТ ""АГРОПРОСПЕРІС БАНК""","АТ ""АГРОПРОСПЕРІС БАНК""",АТ ""АГРОПРОСПЕРІС БАНК""",АГРОПРОСПЕРІС,АП БАНК,"АТ ""АП БАНК""","ПАТ ""АП БАНК""",АП БАНК,АСТРА
БАНК ФАМІЛЬНИЙ,"ПрАТ ""БАНК ФАМІЛЬНИЙ""","ПУБЛІЧНЕ АТ""БАНК ФАМІЛЬНИЙ""","ПpАТ ""БАНК ФАМІЛЬНИЙ""","""ФАМІЛЬНИЙ""","ПАТ ""БАНК ФАМІЛЬНИЙ""",ФАМІЛЬНИЙ
АРТЕМ-БАНК,АРТЕМ БАНК,"АТ ""АРТЕМ-БАНК""",АРТЕМ
"""ПРИЧОРНОМОР'Я""",ПРИЧОРНОМОР'Я
СХІДНО-ПРОМИСЛОВИЙ БАНК,СХІДНО-ПРОМИСЛ.КОМЕРЦ.БАНК,СХІДНО-ПРОМИСЛ. КОМЕРЦ. БАНК,СХІДНО-,СП БАНК
АКСІОМА,"""АКСІОМА""",CИГМАБАНК
АКТИВ БАНК,АКТИВ - БАНК,АКТИВ БАНК
