Date,IR_lag4
2009-04-01,6.98246666666667
2009-07-01,16.8162666666667
2009-10-01,7.25163333333333
2010-01-01,22.1827666666667
2010-04-01,34.3002858915621
2010-07-01,3.79372683232523
2010-10-01,2.97913716330678
2011-01-01,3.47898172375072
2011-04-01,2.20516684628194
2011-07-01,1.31490475562946
2011-10-01,1.29023721990376
2012-01-01,2.93309894258279
2012-04-01,2.10058625983631
2012-07-01,3.29254627537117
2012-10-01,6.55601357270357
2013-01-01,11.985749339292
2013-04-01,4.00326666666667
2013-07-01,7.8115
2013-10-01,14.4382
2014-01-01,18.2483
2014-04-01,2.70586666666667
2014-07-01,2.73363333333333
2014-10-01,3.1404
2015-01-01,7.50516666666667
2015-04-01,11.3449666666667
2015-07-01,9.46386666666667
2015-10-01,11.7014666666667
2016-01-01,18.4745333333333
2016-04-01,21.8242666666667
2016-07-01,24.2157
2016-10-01,19.6670666666667
2017-01-01,18.8640666666667
2017-04-01,20.6278666666667
2017-07-01,17.8985
2017-10-01,15.0485666666667
2018-01-01,12.0341
2018-04-01,12.2949666666667
2018-07-01,11.3091
2018-10-01,11.1343333333333
2019-01-01,12.4307333333333
2019-04-01,14.8307333333333
2019-07-01,15.5522666666667
2019-10-01,16.9152333333333
2020-01-01,17.5505666666667
2020-04-01,16.2205
2020-07-01,16.0293666666667
2020-10-01,15.4799
2021-01-01,13.0351666666667
2021-04-01,9.1727
2021-07-01,6.24313333333333
2021-10-01,5.0806
2022-01-01,5.24256666666667
2022-04-01,5.2969
2022-07-01,6.6282
2022-10-01,7.43026666666667
2023-01-01,7.77163333333333
2023-04-01,9.08723333333333
2023-07-01,13.6666666666667
2023-10-01,23.0141666666667
2024-01-01,22.9808666666667
2024-04-01,23
2024-07-01,20
