Date,IR_lag1
2009-04-01,22.1827666666667
2009-07-01,34.3002858915621
2009-10-01,3.79372683232523
2010-01-01,2.97913716330678
2010-04-01,3.47898172375072
2010-07-01,2.20516684628194
2010-10-01,1.31490475562946
2011-01-01,1.29023721990376
2011-04-01,2.93309894258279
2011-07-01,2.10058625983631
2011-10-01,3.29254627537117
2012-01-01,6.55601357270357
2012-04-01,11.985749339292
2012-07-01,4.00326666666667
2012-10-01,7.8115
2013-01-01,14.4382
2013-04-01,18.2483
2013-07-01,2.70586666666667
2013-10-01,2.73363333333333
2014-01-01,3.1404
2014-04-01,7.50516666666667
2014-07-01,11.3449666666667
2014-10-01,9.46386666666667
2015-01-01,11.7014666666667
2015-04-01,18.4745333333333
2015-07-01,21.8242666666667
2015-10-01,24.2157
2016-01-01,19.6670666666667
2016-04-01,18.8640666666667
2016-07-01,20.6278666666667
2016-10-01,17.8985
2017-01-01,15.0485666666667
2017-04-01,12.0341
2017-07-01,12.2949666666667
2017-10-01,11.3091
2018-01-01,11.1343333333333
2018-04-01,12.4307333333333
2018-07-01,14.8307333333333
2018-10-01,15.5522666666667
2019-01-01,16.9152333333333
2019-04-01,17.5505666666667
2019-07-01,16.2205
2019-10-01,16.0293666666667
2020-01-01,15.4799
2020-04-01,13.0351666666667
2020-07-01,9.1727
2020-10-01,6.24313333333333
2021-01-01,5.0806
2021-04-01,5.24256666666667
2021-07-01,5.2969
2021-10-01,6.6282
2022-01-01,7.43026666666667
2022-04-01,7.77163333333333
2022-07-01,9.08723333333333
2022-10-01,13.6666666666667
2023-01-01,23.0141666666667
2023-04-01,22.9808666666667
2023-07-01,23
2023-10-01,20
2024-01-01,17.3333333333333
2024-04-01,15.6666666666667
2024-07-01,14.8333333333333
