Date,ПРИВАТБАНК,ОЩАДБАНК,УКРЕКСІМБАНК,УКРГАЗБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,СБЕРБАНК,УКРСОЦБАНК,СЕНС БАНК,ПУМБ,УКРСИББАНК,ПРОМІНВЕСТБАНК,ОТП БАНК,КРЕДІ АГРІКОЛЬ БАНК,ПІВДЕННИЙ,ФІНАНСОВА ІНІЦІАТИВА,ВТБ БАНК,СІТІБАНК,ПРОКРЕДИТ БАНК,КРЕДОБАНК,ТАСКОМБАНК,БАНК КРЕДИТ ДНІПРО,ІНГ БАНК УКРАЇНА,МЕГАБАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,БАНК ВОСТОК,УНІВЕРСАЛ БАНК,А - БАНК,ПРАВЕКС-БАНК,ІНДУСТРІАЛБАНК,МТБ БАНК,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,ІДЕЯ БАНК,ПІРЕУС БАНК МКБ,ВІЕС БАНК,БМ БАНК,КЛІРИНГОВИЙ ДІМ,БАНК ФОРВАРД,ГЛОБУС,МІСТО БАНК,АРКАДА,ПОЛТАВА - БАНК,ДОЙЧЕ БАНК ДБУ,КРЕДИТ ЄВРОПА БАНК,ЛЬВІВ,ФІДОБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,КРЕДИТВЕСТ БАНК,КОМІНВЕСТБАНК,БТА БАНК,БАНК АВАНГАРД,МОТОР-БАНК,БАНК ГРАНТ,РАДАБАНК,КРИСТАЛБАНК,БАНК 3/4,АСВІО БАНК,УКРБУДІНВЕСТБАНК,КИЇВ,БАНК СІЧ,АЙБОКС БАНК,ЄВРОПРОМБАНК,БАНК АЛЬЯНС,КАПІТАЛ,МЕТАБАНК,БАНК ЮНІСОН,КОНКОРД,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,АКОРДБАНК,ОКСІ БАНК,ПОЛІКОМБАНК,АГРОПРОСПЕРІС БАНК,АЛЬТБАНК,РВС БАНК,ВЕРНУМ БАНК,СКАЙ БАНК,БАНК ФАМІЛЬНИЙ,ТРАСТ,ДІВІ БАНК,ЦЕНТР,БАНК ПОРТАЛ,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,АЛЬПАРІ БАНК,ЮНЕКС БАНК,МЕГА БАНК,КОМІНБАНК
2018-01-01,142918170.32417,96312330.67693001,65847377.65542,19774800.98435,6501987.53531,0.0,306148.669,3928039.5521,8025244.0905,0.0,150000.0,667208.3996,996532.0,526451.846,2171909.0,0.0,3342043.0,0.0,2996173.9316499997,568161.27964,280391.55777,0.0,0.0,1846519.875,29254.423000000003,485350.0,0.0,320000.0,159347.2791,801293.31029,50000.0,200007.0311,269633.6,0.0,0.0,98235.2805,0.0,390221.04271,199649.669,0.0,28067.223,0.0,0.0,28067.223,206134.446,0.0,0.0,808.0,355898.37879,780812.96204,0.0,0.0,126302.50349999999,104109.0472,260000.0,0.0,40000.0,10000.0,133069.2791,0.0,0.0,0.0,0.0,149342.0,0.0,0.0,90376.45806,0.0,0.0,0.0,0.0,64233.6115,0.0,70168.0575,0.0,96134.446,1000.4,0.0,0.0,0.0,123550.0,78000.0,,,
2018-02-01,142657588.11686,93237838.91386,60041273.21214,17654797.71078,6932794.90434,0.0,557573.492,3656834.79801,7607993.0509,0.0,112500.0,1320180.21861,935032.0,701690.4,2171909.0,0.0,4426883.0,0.0,2083151.04048,511169.05188,279807.82209,0.0,0.0,1583823.52225,28149.191,535350.0,0.0,1050000.0,139247.9447,816016.967,70000.0,199590.64467,235725.2,0.0,0.0,118030.7685,0.0,296965.57691,199474.373,0.0,128008.791,0.0,0.0,0.0,206017.582,0.0,0.0,808.0,127053.791,916938.2326,0.0,0.0,120437.8013,104615.9579,260000.0,0.0,75000.0,10000.0,132969.9447,0.0,0.0,0.0,0.0,149342.0,0.0,0.0,62179.51602,0.0,0.0,0.0,0.0,64204.3955,0.0,70021.9775,0.0,121017.582,1000.4,0.0,20000.0,0.0,124420.0,78000.0,,,
2018-03-01,139218166.28796,94270719.35064,58878999.2049,17624875.30525,6784253.05161,0.0,380774.59,3298788.31189,7573689.6159,0.0,112500.0,1252840.99582,935032.0,636690.4,2171909.0,0.0,3286883.0,0.0,2121644.56208,495599.3558,269212.36815,0.0,0.0,1417875.64629,27088.585,530000.0,0.0,930000.0,106444.9145,901252.73862,75000.0,192032.76631,205725.2,0.0,0.0,114318.6475,0.0,307200.64019,192430.555,0.0,126948.185,0.0,0.0,0.0,203896.37,0.0,0.0,808.0,125993.185,825351.73002,0.0,0.0,129351.288,101250.125,320509.0,0.0,55000.0,10000.0,121166.9145,0.0,0.0,0.0,0.0,126477.0,0.0,0.0,59824.9707,0.0,0.0,0.0,0.0,48674.0925,0.0,67370.4625,0.0,78896.37,1000.4,0.0,20000.0,0.0,124420.0,78000.0,,,
2018-04-01,141679724.64377,93087889.2811,62547274.66122,19674893.37627,6753069.68951,0.0,265567.64747,3052777.58421,8147491.84381,0.0,112500.0,994029.54422,935032.0,566690.4,2171909.0,0.0,3196704.0,0.0,2597558.51262,710027.99824,265169.49507,0.0,0.0,1667867.56207,26683.893,540000.0,0.0,981343.0,213323.9381,862678.53063,148825.0,189148.93112,205725.2,0.0,0.0,172149.9565,0.0,267765.10893,191216.479,0.0,126543.493,0.0,881.0,0.0,103086.986,0.0,0.0,0.0,125588.493,715843.02215,0.0,0.0,127408.7664,97455.23989,312137.0,0.0,85000.0,10000.0,130478.9381,0.0,0.0,0.0,15973914.10796,126477.0,0.0,0.0,58926.55446,0.0,0.0,0.0,0.0,58516.7465,0.0,66358.7325,0.0,78086.986,1000.4,0.0,0.0,0.0,118420.0,78000.0,,,
2018-05-01,143993573.3089,91980650.63824,62139430.50038,19803292.08038,6481058.07073,0.0,263931.62024,2930497.59975,8155687.08054,0.0,112500.0,944325.10787,872511.0,330441.8,2171909.0,0.0,2859204.0,0.0,2467105.7031,706366.94896,262038.16953,0.0,57326.0,1834245.68387,26370.447,490000.0,0.0,581343.0,192791.0799,815093.1374,123825.0,186915.31492,135725.2,0.0,0.0,149951.9325,0.0,233766.69505,190276.141,0.0,126230.047,0.0,1000.0,0.0,102460.094,0.0,0.0,0.0,125275.047,402453.11373,0.0,0.0,125904.2256,96339.92869,278262.0,0.0,62200.0,10000.0,114946.0799,0.0,0.0,0.0,15364857.06598,98264.0,0.0,0.0,58230.70434,0.0,0.0,0.0,0.0,48360.0235,0.0,65575.1175,0.0,77460.094,1000.4,0.0,0.0,0.0,150120.0,78000.0,,,
2018-06-01,145444567.44691,92264788.32691,61952882.41618,20154249.2352,6491919.76279,0.0,235353.03209,3246501.66142,9115455.47894,550000.0,112500.0,1113921.97456,872511.0,359941.8,2171909.0,0.0,2980840.0,0.0,2323075.97746,679130.52556,261096.81183,0.0,57326.0,1841780.04784,26276.217,410000.0,0.0,636343.0,192630.8889,867515.03638,168825.0,186243.83194,135725.2,0.0,0.0,121876.5415,0.0,143804.00656,189993.451,0.0,126135.817,0.0,1000.0,0.0,72271.634,0.0,0.0,0.0,125180.817,784998.65639,0.0,0.0,121391.1765,95365.24173,277262.0,0.0,62200.0,0.0,164785.8889,0.0,0.0,0.0,16600333.65053,120409.9085,0.0,0.0,58021.51374,0.0,0.0,0.0,0.0,43312.9085,0.0,65339.5425,0.0,77271.634,1000.4,0.0,0.0,0.0,72800.0,78000.0,,,
2018-07-01,148049305.30026,94978272.35007,59403524.8518,19814386.68542,6452377.32619,0.0,26320.11585,3307890.98193,9415713.3644,915000.0,112500.0,1227362.4077,872511.0,359298.8253,2171909.0,0.0,3840840.0,0.0,2481568.64428,533869.2881,261629.8083,0.0,45311.0,1939812.38222,140.4,400000.0,0.0,750000.0,194661.589,936834.8905,103825.0,186624.02542,148707.69533,0.0,0.0,122230.094,0.0,139720.087,190153.51,0.0,160235.091,0.0,0.0,0.0,20000.0,0.0,0.0,0.0,125234.17,1021920.85817,0.0,0.0,113774.514,95571.46884,305634.0,0.0,32200.0,0.0,193527.174,0.0,0.0,0.0,17130867.78468,117828.74745,,0.0,58139.9574,0.0,0.0,0.0,0.0,43339.585,0.0,65472.925,0.0,77378.34,750.3,0.0,0.0,0.0,110800.0,78000.0,,,
2018-08-01,151311695.01534,93197501.93399,60026571.76556,18983591.96765,6404376.47395,0.0,133.77607,3342707.21122,9381162.05051,945000.0,75000.0,626378.20069,966140.0,289483.12159,2171909.0,0.0,3421899.0,0.0,2550777.78742,612168.84702,267284.58786,0.0,45311.0,1266071.90081,93.6,350000.0,0.0,499558.0,120747.0,893292.0951,61908.0,187286.498,151815.57332,0.0,0.0,119552.9982,0.0,187477.23798,191851.642,0.0,141536.9922,0.0,0.0,0.0,40000.0,0.0,0.0,0.0,120800.214,425767.65647,0.0,0.0,124178.463,113274.02703,220000.0,0.0,5000.0,0.0,174772.4708,0.0,0.0,107020.856,15679557.32044,112113.35799,,0.0,59396.57508,0.0,0.0,0.0,0.0,33622.607,0.0,66888.035,0.0,88510.428,750.3,0.0,0.0,0.0,103460.0,58000.0,,,
2018-09-01,155862323.01527,97267497.21793,59750629.82098,23681408.58801,5982472.65829,0.0,141.39719,3165718.69082,9152775.25836,945000.0,75000.0,1309552.8424,966140.0,939561.1915,2171909.0,0.0,3364523.0,0.0,3165125.73024,625669.90726,282511.57563,0.0,45311.0,3303982.89112,93.6,280000.0,0.0,187147.0,195476.48848,992499.03172,61908.0,197956.059,149010.69771,0.0,0.0,112246.7416,0.0,186731.01955,192562.311,0.0,225042.7051,0.0,0.0,0.0,162687.51,0.0,0.0,0.0,122324.437,535019.911,0.0,0.0,144225.1287,119599.08517,333117.748,0.0,112000.0,0.0,173530.62791,0.0,0.0,113117.748,18786204.44095,113032.95875,,0.0,67022.2657,0.0,0.0,0.0,0.0,34384.7185,0.0,70698.5925,0.0,129558.874,750.3,,0.0,0.0,123560.0,58000.0,,,
2018-10-01,155913116.75963,95611616.854,59773828.63648,23237632.80441,5882574.69336,0.0,141.49131,2785646.72748,8669510.80626,945000.0,75000.0,1086495.75222,966140.0,1653918.67138,2171909.0,0.0,2728685.0,0.0,3200935.71132,482523.7899,282699.63738,0.0,45311.0,3180695.20755,93.6,280000.0,0.0,304558.0,195533.71648,1023392.09752,101908.0,198087.834,148654.26588,0.0,0.0,112363.9086,0.0,77683.4814,192618.786,0.0,225086.0026,0.0,0.0,0.0,162854.074,0.0,0.0,0.0,122343.262,854960.82422,0.0,0.0,144321.1362,144685.94382,333193.048,0.0,30000.0,0.0,181331.81786,0.0,0.0,113193.048,19058651.22086,124367.83937,,0.0,67066.88094,0.0,0.0,0.0,0.0,40149.131,57134.19098,70745.655,0.0,129596.524,750.3,,0.0,0.0,123560.0,58000.0,,,
