Date,А - БАНК,АЛЬПАРІ БАНК,АЛЬТБАНК,АГРОПРОСПЕРІС БАНК,АСВІО БАНК,КОНКОРД,ІНДУСТРІАЛБАНК,ЛЬВІВ,БАНК 3/4,БАНК АЛЬЯНС,БАНК АВАНГАРД,БАНК КРЕДИТ ДНІПРО,БАНК ФАМІЛЬНИЙ,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ГРАНТ,БАНК ПОРТАЛ,Траст-капітал,БАНК УКРАЇНСЬКИЙ КАПІТАЛ,БАНК ВОСТОК,БТА БАНК,АКОРДБАНК,ГЛОБУС,ПРИВАТБАНК,СІТІБАНК,КЛІРИНГОВИЙ ДІМ,КОМІНВЕСТБАНК,КРЕДІ АГРІКОЛЬ БАНК,КРЕДИТ ЄВРОПА БАНК,КРЕДИТВЕСТ БАНК,КРИСТАЛБАНК,ДОЙЧЕ БАНК ДБУ,ЄВРОПРОМБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ПУМБ,АЙБОКС БАНК,ІДЕЯ БАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНГ БАНК УКРАЇНА,КРЕДОБАНК,МЕТАБАНК,МОТОР-БАНК,МТБ БАНК,ОКСІ БАНК,ОЩАДБАНК,ОЩАДБАНК.1,ПІРЕУС БАНК МКБ,ПІВДЕННИЙ,ПОЛІКОМБАНК,ПОЛТАВА - БАНК,ПРАВЕКС-БАНК,ПРОКРЕДИТ БАНК,РАДАБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,РВС БАНК,ФІДОБАНК,СЕНС БАНК,СКАЙ БАНК,ТАСКОМБАНК,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,УКРБУДІНВЕСТБАНК,УКРЕКСІМБАНК,УКРГАЗБАНК,УКРСИББАНК,ЮНЕКС БАНК,УНІВЕРСАЛ БАНК
2019-04-01,494617.16895333334,203232.49506,299944.80608,414131.7533,320887.89932333335,64398.64846666667,,361361.6659466667,302687.23609666666,132176.50458333333,704528.4370133333,1445987.3097933333,244847.79702666667,386932.54249333334,113537.35174,10014.319646666663,,,1286139.68284,213000.55719666663,529334.8577200001,437862.4321733333,178563057.32885668,10390185.65495,742297.9539833333,65.46346,2566093.5968566667,94240.85151,129895.91397,657405.21884,360453.22937333334,,472105.2196333334,11891275.728236666,53403.47039999999,299381.12254333333,5348313.385833333,2491038.038666667,3776084.431606666,178819.84497333333,233848.85841666663,1557393.2185266668,23375.360743333335,109631222.08435,4920281.880313333,575058.6740966666,3406045.2082266663,44548.48681333333,579948.1690033333,,1120050.22831,363381.90995,9665320.382453332,268914.43275333336,1149090.7696366666,8197636.689786666,30722.611909999996,1757096.231,169800.24147333333,,58978281.70807,23961431.208733335,5388214.115593333,278549.7079433333,1300322.5620366668
2019-07-01,327472.14611666667,189198.28762333337,313486.6763333333,257277.58,255226.56668,51409.00011,,351007.64992,363442.8029566666,115723.6569,759952.4705466666,1762421.8523199998,247208.98205666663,292567.84437999997,120604.22387666669,25090.79913666667,,,794702.63982,195719.11124333335,558482.0970666666,514309.14058000006,170545252.32846,9794240.915983332,906543.71024,34333.333333333336,2759939.52252,133704.45613666667,61774.30310333334,755862.72511,599666.5660333334,,664507.6918,8860024.480616666,5012.73975,317674.75888000004,3076632.829293333,1705392.8613333337,3491867.3810666665,143389.43583666667,192244.06421666665,1193677.71043,4669.538823333333,103546556.27379668,3429682.062376667,438260.84977333335,2081608.11488,20799.585,518483.9122466667,,937099.1324166666,234288.88302,8065698.475386667,272303.92701,626849.7315966666,7963387.163886666,42064.99549,1603802.3502766667,167023.23045,,58223498.65731,29049637.74203,4334640.386516667,323443.17005333334,1871004.79963
2019-10-01,297352.64818,194549.50678000005,344911.21106999996,161964.52145,177057.11693000002,59066.98634,1021583.207205,420942.4020266666,541628.7884833333,150839.22793,851788.4549566667,1059100.6287166667,238293.48811,109438.23180333334,145278.9499,66047.12337333332,27810.079975,244337.870895,1063286.9222066666,205364.37438,769192.6784566668,468379.51591333334,163295976.46758,10060272.406286666,348603.5691266667,38333.333333333336,2485037.928576667,340412.6511,49728.517203333344,730273.6559533332,397077.1545266667,68584.51927,681321.1530333334,8344925.778366667,38359.817383333335,281675.47437333333,1980275.031853333,1705007.8933333333,3116303.3307399997,234938.81966333333,163680.09136666666,1111291.392573333,11343.479466666666,98095001.37824333,3645110.43185,467807.16875,1674858.2188433334,10410.51946,558352.3308199999,2233950.586575,1354353.88128,197286.0884433333,8674829.445963332,208630.77632666667,344692.3941066667,6835357.677583333,82789.22382666667,1215085.9752566668,173983.46374,139100.274055,50826301.54714334,25746250.858413335,4497410.53946,186985.29683666668,1606730.00769
2020-01-01,237068.58443333337,165826.77975000002,211779.08853333336,268906.5342333333,176963.12324,30041.780766666667,831151.2070866668,527256.7801866668,423590.9594966667,346923.9873766667,714691.8469266667,1142261.0704633333,246981.73705333332,214571.77346666667,147078.35630333333,38134.57537666667,25342.674703333338,157069.78833,985421.1530833334,217339.17771000005,865888.01133,579120.9482266667,164174840.31181666,11775834.429826668,300972.90383333334,10105.176606666666,3704854.9831566666,429739.84315,26011.168456666663,657039.2804800001,612678.07893,53454.85056666667,574862.3475666667,9791805.11394,70106.73509999999,336468.23298666667,792880.5324933333,2175818.315,3047082.91683,209272.12132,128550.61663333334,1195762.18307,32054.52059666667,99251906.74642,6034844.42105,573773.4851766666,2863804.0514233336,19805.234413333335,603346.5772866666,2131406.1875033337,2517006.3006166667,269474.1220833333,12270036.812636666,185133.08201666665,427546.78819,10148664.029606666,104925.63754333336,876434.4075266666,172662.23293333335,175233.94960333334,46235469.7484,29807770.737113334,5672735.061753334,291780.3973333333,2566301.243026667
2020-04-01,508009.40935333335,163989.14822333332,559171.9376,429673.7029,261140.05271,173592.51829333333,1101641.4731966665,583876.0993933333,415428.4673599999,565100.28429,829423.4685433334,1570086.7436666666,296837.64111666667,371958.93445,242122.28200333333,18394.982066666667,63487.005536666664,185199.78565666665,2398423.23101,251357.16330666665,1204267.8141433334,1345406.5049233334,179966581.04795003,17432980.995593335,599367.3685,54333.333333333336,7630711.39481,517866.27681666665,154313.69805,986577.5175833332,1446092.4361766668,33391.036673333336,802315.86044,13339688.787286667,292193.5591333333,591913.8883866667,752931.5260999999,2573102.317,3345503.68029,208170.97068333335,300378.0384,1413275.0793633333,55117.659903333326,108007999.22404666,13095706.758313334,733121.2575166667,7452363.10599,109830.54001333332,723452.5877366667,2435481.61756,3775930.744066667,560691.0571433334,17624116.17621,131801.15390333332,1045891.4441466668,15862809.76088,140185.03923999998,2790537.810733333,184387.43068666663,191584.24895666668,51503505.21057,39273502.16935667,9858393.6559,360786.67490333336,3418763.654133334
2020-07-01,850750.45537,176928.56380999996,217974.22077333333,355944.8664966666,205405.04009666663,166760.92890333335,920621.0921733332,452281.95682333334,686021.4605933334,323101.18271333334,1242871.4117233334,1550820.584,279213.87232666666,536940.5852366666,180094.35321,4005.391626666667,60703.69761,210896.54724999997,1806863.1272333332,196691.68475,1006129.5490766668,991723.7672466668,201246268.53576,14242788.52927,459216.19918666664,,6839342.817120001,398641.25923,,880054.4388333334,810409.9120299999,21007.504579999997,621905.0826733334,13362266.25789,303109.61278,494326.81407333334,811692.1520066666,2184586.0519999997,3748727.995106667,203535.80162333333,200127.5045,1469581.6813866666,33023.20583,107763925.80052668,9530632.2974,617702.9960500001,3448388.2778599993,16669.398906666665,730360.7414866667,2171177.08696,2685357.7413466666,441270.1488666667,18270622.6046,136386.41141666667,540785.0780333333,12087972.464273334,168311.35065333336,2578499.60586,209261.12898,112361.40252,50178668.89355334,49677084.96799,7327174.315766667,285539.1031266667,3577839.5953
2020-10-01,723789.6174933333,126834.41901,433862.68988,344329.4234733333,245939.73396666665,186717.30394,1164540.2977066666,623363.4603833334,780408.1091033333,554649.2191766667,1222591.17806,1888236.2085133332,269338.0859566667,704672.9368599999,286281.07352000003,22675.6375,50692.905280000006,286618.27837666665,2593393.112393333,216578.66731,1695389.3816,1252669.5397433334,197349851.05222332,15434492.831973337,560587.4634833334,48333.333333333336,7027883.363803334,441954.3988533334,78358.23683333333,1132287.727973333,1317197.06291,3334.699466666667,634706.2066933333,17141148.497573335,634325.11394,444615.04708666663,419137.4620633333,2434576.271,4106146.9787666663,343840.3485,160073.99795,1557768.2187433334,30678.324176666665,111028118.62100668,10947879.517193334,607392.7704566666,5116144.178956667,40005.828746666666,983455.3103333332,2445319.0309266667,3365091.2568333335,640330.9914099999,22206456.516906668,327179.97038666665,899286.3182099998,14649659.749806669,311498.99920333334,2491991.575193333,302640.0685633333,181705.32764,57238157.52966001,58025836.831546664,10334618.222583331,295109.1585833333,3657329.0016666665
2021-01-01,693817.2131200001,93558.27015666668,402014.0107366667,437861.0417766667,416328.4598366667,333453.0051633333,1031590.0493766668,368135.7997766666,827379.3776866667,1460138.9630733335,1331939.4867633332,2904891.6712366664,265566.7031,715337.7269133333,324474.78754666663,10673.816026666664,63692.80507,318825.5305366667,3600066.83489,252874.39277333333,1870142.0817666664,1467729.2779466668,215702701.73988,14249893.399916666,315166.90386666666,90873.30579333332,7422816.482943334,422453.63496666664,191579.36743,1714891.5495999998,1353998.0813,40677.54702666667,486206.58855,18496463.561953332,952798.6983033334,339801.21945000003,527080.7020033334,2818400.484333333,4797975.280163334,409468.29765666666,225099.95458333337,1490002.7005633332,51011.12011,112068930.37939668,10623912.096753336,574915.3911066666,5595109.4971566675,116716.66660333332,1141968.97002,1895614.5791533336,2018049.180326667,898913.7982833333,20806798.570680004,958854.2650733332,1164997.4774566668,13404076.06406,335968.94091999996,3425053.10285,339823.1113366667,251284.58952666665,74753002.69125001,63108676.353873335,10108049.597863331,286154.87218,5076735.778039999
2021-04-01,428422.90777666663,139621.33519333333,568734.8036,471807.8514233334,578394.8269266667,975936.1699766668,1319968.1171966668,725733.22764,998993.1277033332,3534652.3335866667,1686101.5224133332,4774215.583713333,326325.6382333333,1165089.6676533334,389142.57890666666,31360.26955,90364.66299333336,515013.0642,5362924.5429466665,293662.74785999994,3960899.1683566663,1821156.1292533337,238783622.94651663,16790339.455946665,719426.8811833332,119538.54789666669,8290916.001576667,447743.15786666673,218178.65768666667,2303604.244766667,2331123.0620500003,121379.86257,781723.4486033333,20628608.893833335,1007212.2507066666,405563.47494,783627.66452,2845992.653333334,7002701.330320001,432293.83078,441823.8720833334,2708561.8002566667,90951.3969,125703303.96263666,12275230.770946668,1045536.60676,10431883.947446669,182281.53401333335,1412735.77639,2533433.0433866666,1877479.3397699995,1020890.4816733332,29534736.213423338,1461338.3194333334,1757468.979403333,20780015.454153333,577297.7030766666,6999051.543363333,355446.1938,739756.4053233332,88527541.32500666,53601769.74535666,11298576.080130002,408263.7737933334,11491087.882703334
2021-07-01,383823.41477,130630.56595333334,298021.05426,308856.95572,460353.9387933334,2005974.4766666663,1304547.2478533334,496548.94696333335,824903.7435566667,4326786.925503333,1691017.3326,5939467.622933333,299709.88842000003,1284670.4861766666,416959.21433333337,24355.657560000003,61706.20546333334,772348.3392333334,4887109.791096666,400502.96951,4709019.27189,1341858.6925233332,228065551.25398,17018042.851526666,1134159.77571,57379.791670000006,8973204.834726667,526161.5947333333,422625.6262,3087223.3773933337,2257963.4574766667,188768.84417333335,1195347.445886667,21549822.58282,1661857.0351333332,213663.0661066667,1493217.0631766666,4098013.066493334,6389971.13615,704773.1575166667,214391.4121,2350655.8219566667,87806.33439000002,131982177.38023669,12391194.60614,1071595.74476,8895792.439383334,97923.35202,1366966.7342566669,2555152.9351833337,1117584.8858466668,1311791.30625,27938720.97818,2165175.6120933336,1613614.432803333,24299362.49082,699784.74827,7688443.824020001,332201.95672333334,934909.94151,91447769.37141334,49359645.09728,10069107.934853332,504805.72966666665,12128027.636396669
