Date,IR
2006-04-01,9.5
2006-07-01,9.166666666666666
2006-10-01,8.5
2007-01-01,8.5
2007-04-01,8.5
2007-07-01,8.333333333333334
2007-10-01,8.0
2008-01-01,8.0
2008-04-01,10.0
2008-07-01,12.0
2008-10-01,12.0
2009-01-01,12.0
2009-04-01,12.0
2009-07-01,11.666666666666666
2009-10-01,10.5
2010-01-01,10.25
2010-04-01,10.25
2010-07-01,10.0
2010-10-01,8.0
2011-01-01,7.75
2011-04-01,7.75
2011-07-01,7.75
2011-10-01,7.75
2012-01-01,7.75
2012-04-01,7.666666666666667
2012-07-01,7.5
2012-10-01,7.5
2013-01-01,7.5
2013-04-01,7.5
2013-07-01,7.333333333333333
2013-10-01,6.666666666666667
2014-01-01,6.5
2014-04-01,6.5
2014-07-01,9.5
2014-10-01,12.5
2015-01-01,13.5
2015-04-01,21.166666666666668
2015-07-01,30.0
2015-10-01,26.333333333333332
2016-01-01,22.0
2016-04-01,22.0
2016-07-01,17.833333333333332
2016-10-01,15.333333333333334
2017-01-01,14.0
2017-04-01,14.0
2017-07-01,12.666666666666666
2017-10-01,12.5
2018-01-01,13.833333333333334
2018-04-01,16.333333333333332
2018-07-01,17.0
2018-10-01,17.666666666666668
2019-01-01,18.0
2019-04-01,18.0
2019-07-01,17.5
2019-10-01,16.833333333333332
2020-01-01,14.833333333333334
2020-04-01,10.666666666666666
2020-07-01,7.333333333333333
2020-10-01,6.0
2021-01-01,6.0
2021-04-01,6.166666666666667
2021-07-01,7.5
2021-10-01,8.166666666666666
2022-01-01,8.666666666666666
2022-04-01,10.0
2022-07-01,15.0
2022-10-01,25.0
2023-01-01,25.0
2023-04-01,25.0
2023-07-01,25.0
2023-10-01,21.333333333333332
2024-01-01,15.666666666666666
2024-04-01,14.833333333333334
2024-07-01,13.333333333333334
