Date,А - БАНК,АЛЬПАРІ БАНК,АЛЬТБАНК,АГРОПРОСПЕРІС БАНК,АСВІО БАНК,КОНКОРД,ІНДУСТРІАЛБАНК,ЛЬВІВ,БАНК 3/4,БАНК АЛЬЯНС,БАНК АВАНГАРД,БАНК КРЕДИТ ДНІПРО,БАНК ФАМІЛЬНИЙ,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ГРАНТ,БАНК ПОРТАЛ,БАНК ВОСТОК,БТА БАНК,АКОРДБАНК,ГЛОБУС,ПРИВАТБАНК,СІТІБАНК,КЛІРИНГОВИЙ ДІМ,КОМІНВЕСТБАНК,КРЕДІ АГРІКОЛЬ БАНК,КРЕДИТ ЄВРОПА БАНК,КРЕДИТВЕСТ БАНК,КРИСТАЛБАНК,ДОЙЧЕ БАНК ДБУ,ЄВРОПРОМБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ПУМБ,АЙБОКС БАНК,ІДЕЯ БАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНГ БАНК УКРАЇНА,КРЕДОБАНК,МЕТАБАНК,МОТОР-БАНК,МТБ БАНК,ОКСІ БАНК,ОЩАДБАНК,ПІРЕУС БАНК МКБ,ПІВДЕННИЙ,ПОЛІКОМБАНК,ПОЛТАВА - БАНК,ПРАВЕКС-БАНК,ПРОКРЕДИТ БАНК,РАДАБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,РВС БАНК,ФІДОБАНК,СЕНС БАНК,СКАЙ БАНК,ТАСКОМБАНК,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,УКРБУДІНВЕСТБАНК,УКРЕКСІМБАНК,УКРГАЗБАНК,УКРСИББАНК,ЮНЕКС БАНК,УНІВЕРСАЛ БАНК
2019-04-01,0.0856071574597158,0.776980078241129,0.458619507398174,0.4041140923714321,0.3304371378947208,0.0622798174919971,,0.14704891149680213,0.30351517524476196,0.053421638879663766,0.6870767798692053,0.11397758616653798,0.6049787529172703,0.08367380692041054,0.07571286302573023,0.03527189817252212,0.13019350076894656,0.3578734144440703,0.2923658240535627,0.15516136634165856,0.33956519475088504,0.4349444762735251,0.24981329012019587,4.7876317562157574e-05,0.06983309350926259,0.05293203067462262,0.07753284780180789,0.4191669206119112,0.11141917014151613,,0.32206962193870636,0.20470799352067948,0.06062100073834554,0.05076879178884655,0.5220812664311739,0.20550996251423226,0.22047742363998094,0.21989747230851694,0.1701654274010045,0.2878199187599937,0.042741041478085856,0.3772707872054547,0.21230819275042792,0.12738088348744467,0.06180240758155546,0.2435169848491378,,0.052234093080422,0.21949475022345677,0.12119327760333004,0.30309489113058097,0.5985431774123579,0.11657054213165874,0.0569693943536635,0.09301523183121187,0.7299203707703814,,0.253357874268876,0.25429493311437995,0.09800715912744243,,0.11854097470025958
2019-07-01,0.051822786008586676,0.6745623909777456,0.4512473479342723,0.2624508655843338,0.26875860279313796,0.045819635339874966,,0.13324519363649517,0.4157109114222314,0.04054118553972354,0.7287080929866456,0.13962872898864748,0.6095141631353422,0.06575411440557707,0.08040806470626208,0.07258076865278663,0.08454705354060814,0.3339633523725971,0.2973554497538982,0.17885301554756397,0.32649370304179587,0.40711172277141894,0.29478640572678494,0.024542101639826133,0.0724589684777713,0.07821877664908677,0.03893670231144477,0.46752174095684546,0.23836963629124838,,0.3847938565854301,0.15410524508742093,0.006033340127682652,0.04830385500686383,0.3382258130288919,0.14307998760633076,0.19251118599523484,0.1638759262025478,0.15245888073573252,0.22758400685483257,0.009213615524298412,0.3667498749575477,0.15788952644082524,0.08135337919185394,0.02953588059114261,0.21685166807985215,,0.043042445573627124,0.13765890125796967,0.09955152907680166,0.27798383398855797,0.3258665747510122,0.11257346993453637,0.0735117868248738,0.08518009927244284,0.702984364073165,,0.25870376421985025,0.2965986799610896,0.08125448435279578,0.32551205434713953,0.14494304356786514
2019-10-01,0.04474697918911522,0.667602581493003,0.4852928637150362,0.15799524487453454,0.18825352680477148,0.045429997876107964,0.21906167253520567,0.14965746878471253,0.5171231393487784,0.04842500853081669,0.7311134045712326,0.08961837876185651,0.6232625121327332,0.025914310455035894,0.09648037494944302,0.18787421316784292,0.10440005788779694,0.35250939340099796,0.3186730508965443,0.15100252371019537,0.31222045178430785,0.3980115167725802,0.13588207142252834,0.02796274900363712,0.06312981925512011,0.26762074540090736,0.032520816098332316,0.4249903713672437,0.1667287631673955,0.10230391289888209,0.3397144307606194,0.13700338038807644,0.04652481682294522,0.039227170340546944,0.32469575638548553,0.1476749906416789,0.17129744526083548,0.24283979799479674,0.13746247916513477,0.2041581491181747,0.022937367396218274,0.34449204227373476,0.16363933413391335,0.06471764964538049,0.013852961316323794,0.22274026415384812,0.4544908548127857,0.06086703716571416,0.1116561091630057,0.10503978779634138,0.19266397628015475,0.17040897192554083,0.09381356413367634,0.14704964773886667,0.06360843611647778,0.7102294691123782,0.14050132628289486,0.23920466197779364,0.22542220043088376,0.08219676849077434,0.20749147301866236,0.10947511681811477
2020-01-01,0.032298823683744406,0.6111170798337218,0.31625598698208884,0.2400692651901314,0.18190000940931192,0.01981095435640173,0.18423847865320445,0.17384666794285497,0.4535419519417702,0.10420538256720185,0.6399107300701504,0.09757036347812566,0.6324429448163787,0.051503978669488464,0.09695589999532055,0.11517624559909694,0.09564388770589702,0.3726321616093798,0.33134326374616707,0.1861606538922742,0.3081366291367246,0.38936107830881744,0.11816487987112376,0.007893551712710669,0.09451989026638012,0.39913766708862275,0.01662962361802826,0.38253340118137524,0.25461457655260195,0.07637784691404612,0.2928389773249941,0.1613285479232624,0.09085841497372261,0.04443819659717631,0.20631343380525508,0.169396177720392,0.16099083697606975,0.22295685924719785,0.11556096252782765,0.21479787742106413,0.06625322348941827,0.3548549041525159,0.19434051908692038,0.10628050250073047,0.02720912305460542,0.23808396464611967,0.40626841089660426,0.10879606707314468,0.1489220922104499,0.14575054535908655,0.1737201232645867,0.25596850697478407,0.11719085869255723,0.18890322483236371,0.04559965729434629,0.7072830274401182,0.15242813030141172,0.22553592763658437,0.25606028013617305,0.1034590441049923,0.3092801514758567,0.15332321367899457
2020-04-01,0.05877276784488164,0.5736951410293787,0.5168114352074046,0.344589348225966,0.2329904210937342,0.08802095806763441,0.25795155153702454,0.1753592072717492,0.4585205579067743,0.1522575257943116,0.7502093681493752,0.12971619782793942,0.6647166831317165,0.08668683235391368,0.15365671354206803,0.056078438941341915,0.20425283669884983,0.4384158012932867,0.3966971025314525,0.3408357079242534,0.3236576319805345,0.5358021505677779,0.2048290101257325,0.04311236117316792,0.19091215990919236,0.44118082079464754,0.09359335549961363,0.48339068771774296,0.5119373827705325,0.05594219035195014,0.4849150564142198,0.20620761370800897,0.26222008835609617,0.07185366158286,0.20350788240650097,0.1984886538456582,0.17028647349714876,0.21051957080115657,0.23340312119686696,0.24035169241466042,0.10985034806231644,0.3366210650097042,0.23086645020321017,0.2611679702293316,0.13917908276761154,0.2753634721174976,0.42021182019095255,0.15365016428728206,0.2610194367633163,0.19057671701826182,0.10770121336724456,0.544155057131943,0.1778116178812213,0.24600714982225677,0.14103448889716716,0.6317277014784006,0.16315694381304022,0.25124988960538863,0.2844801837647553,0.17480948753223458,0.367712374458329,0.1631342700202043
2020-07-01,0.09890543094486377,0.6239171139495389,0.14287207070076297,0.25937742413465525,0.18717925350943454,0.08570728442346924,0.21283402759630252,0.132179249806722,0.5940089798553202,0.083605798750551,0.7587497365540764,0.11914736343157963,0.6299270041895884,0.10747145402970391,0.11137661900432773,0.011384484372560039,0.14641025161565063,0.3906773659362869,0.35748737121188107,0.26576435365616236,0.34627843587598534,0.5259753749966848,0.1430036962509423,,0.15358927902290903,0.4173026593006849,,0.3917433748999187,0.23326917064079303,0.033838854616228396,0.36348349117661627,0.19640509353600652,0.28678990469282034,0.06024906930687879,0.1719834563348043,0.18241393000838718,0.18235917630418702,0.19288388831384443,0.15334640280665454,0.2241212599208355,0.06876575533333726,0.3455420079122899,0.18786512860825477,0.1231245370815834,0.02148991468146122,0.26677376001593334,0.3739204376218368,0.10365964162113961,0.1944153754482761,0.18474249859801684,0.12997616029077633,0.31425795492511516,0.12641114076635496,0.28041826559327093,0.12457829625585272,0.6425490854269381,0.10227433628575282,0.23003832658141415,0.3344141257439132,0.11868229545826917,0.32597391272053633,0.14837671497835905
2020-10-01,0.07822872131874664,0.5116739441232915,0.2850203889242783,0.22616098006712318,0.22021913885428496,0.08785337994108183,0.25672080070928327,0.1615934059432112,0.5991698053653419,0.11392627292827177,0.6770413022719391,0.14899331873382235,0.6232934708779742,0.14476607182743792,0.16644513968752142,0.0627361533706949,0.1976251651053966,0.5147997485304748,0.4190520693822451,0.2948834558669405,0.33764023949973154,0.5090457373171517,0.16196102875609394,0.03604601648287976,0.15130130512979975,0.43748109704025206,0.04523398916442303,0.4451436956943583,0.42681880118867194,0.005587241956947552,0.3469070575897746,0.2361186135801761,0.39668273863618,0.05336568495040435,0.09888815159105159,0.19283274853856816,0.18337614955494902,0.29537126663528634,0.12419508179228923,0.22024335320629118,0.057164472907984286,0.4063667979479593,0.18117049614064581,0.16460371279230604,0.05134072558889236,0.33175793983790564,0.37988822310813486,0.1253804343767503,0.2415112745189917,0.21371154671613532,0.24703942569208365,0.4037407673326964,0.146465994026533,0.42790653797660116,0.11436636621447548,0.7739191859331369,0.14961465606360833,0.24490431861004822,0.3614593675436164,0.1541113200095668,0.33759074942684225,0.13633698727590315
2021-01-01,0.06746832846866387,0.3525212804758826,0.34154066422483825,0.27020607846575767,0.3370801606726396,0.13410427584553516,0.2312004347111932,0.08680441561288192,0.6117281401327139,0.25921391584329967,0.6979135100605928,0.2039791385582018,0.6597160036173387,0.15764478963949138,0.1754096672166381,0.030733365581056445,0.24681031100243855,0.5570872630255925,0.381348544842282,0.33073777488724215,0.374237176656462,0.47379657471949443,0.0927688564247689,0.06442361145918453,0.1453218189741543,0.4437596805935731,0.10108236290298198,0.540013212992334,0.41207912698962107,0.06558176446278846,0.2910179537830322,0.22706621223893442,0.46935838056609647,0.041589413013323674,0.11769467334669491,0.2045508077327554,0.1965203595327195,0.36094578743288186,0.14494759189834552,0.2150977994492888,0.08168048637049073,0.41682091057110543,0.1649290755874652,0.17625823497425078,0.14115210264889214,0.37525419646391206,0.2789893572722925,0.07439425426241375,0.2985526120678648,0.19326365043032215,0.483825372907618,0.45520014742672116,0.13222808345409548,0.4125630660065256,0.14199169532836978,0.7729199031754581,0.19168442374167785,0.3175129553827856,0.38349497371070396,0.14222496166205792,0.3559211586839537,0.1648746844061199
2021-04-01,0.038116123473879326,0.5361736950170128,0.4661765945259072,0.26932816382058206,0.36755878761317967,0.29932841194026183,0.2855005534966429,0.14531143973822952,0.695374537540335,0.43493511748420105,0.8465041982427044,0.30260563577164934,0.7197594809207015,0.2559667963372433,0.1970372205562363,0.09404476729075362,0.3161562141367181,0.7283307383272568,0.5708669457789997,0.344837730585932,0.4245034020771129,0.5954336738998325,0.20218237678117207,0.08719316995292199,0.157834343979463,0.4786066316621205,0.1102425496858092,0.6298002896804036,0.5557573703857382,0.17621502840114156,0.38360625960365374,0.24559993315002768,0.4643081642668614,0.05139577357946058,0.20032038817530837,0.23099875629615646,0.2653622421520364,0.36331034860522626,0.24245464406556208,0.33124774184041533,0.12075650148988834,0.45599500832308004,0.24282784471300034,0.28748631538163055,0.2126197274029169,0.44065756655002963,0.3503058091306543,0.06824007298464137,0.32508464041863905,0.2535480082591781,0.568848746375148,0.5663245546294573,0.1866768662231434,0.5375690802117177,0.28028266741480123,0.7855592127639851,0.3897972888925263,0.36911014309845946,0.3558782483595549,0.15590742868851992,0.462016101029104,0.2976119997196087
2021-07-01,0.03293243375164997,0.49741553120548543,0.32588090272796166,0.15818067557752763,0.33859150215174266,0.4920450208801014,0.2821996994802529,0.09773866941587932,0.5949094443745728,0.44475970933669234,0.8079763208049334,0.34176381057402433,0.7282595261790586,0.2793144551514225,0.20801856573957628,0.07341985223086497,0.296896851071741,0.7871746104984993,0.5670774593109008,0.24437811602003645,0.4113972143049986,0.6229391537517277,0.28366583876236984,0.042867031278836544,0.1741612851213083,0.5196119640467192,0.22407225105303424,0.6883830586859636,0.5752263474878387,0.25095062308370697,0.39170017284096004,0.23140252363326114,0.5484987047605882,0.026080415587219824,0.34835474929268456,0.32551071296600415,0.23554919059537474,0.4609403898587921,0.13947244208158832,0.282052320778416,0.1194358284590705,0.4550793196606326,0.23491864821727063,0.2467680660693719,0.11522437849570255,0.4258640722960127,0.3507608345529255,0.040138245185772636,0.36378300965673077,0.23842240472339987,0.6422532742799031,0.5846950877881264,0.21597713582869635,0.5723773388604341,0.29783335383452214,0.785581329263897,0.4348145600342455,0.3720089344787767,0.355002753098449,0.14277793880597126,0.6050387779922125,0.28592689767501733
