Date,SEC
2018-02-01,1393505.069
2018-03-01,1372271.756
2018-04-01,1572944.942
2018-05-01,1570074.252
2018-06-01,1649023.945
2018-07-01,1526964.96
2018-08-01,1561817.054
2018-09-01,1389403.269
2018-10-01,1398454.496
2018-11-01,1383862.906
2018-12-01,1287766.904
2019-01-01,1602971.402
2019-02-01,1633523.59
2019-03-01,1577176.326
2019-04-01,1526913.341
2019-05-01,1447913.331
2019-06-01,1469695.162
2019-07-01,1369479.107
2019-08-01,1388023.683
2019-09-01,1340858.48
2019-10-01,1497443.408
2019-11-01,1530006.017
2019-12-01,1550658.432
2020-01-01,1985529.64
2020-02-01,2046233.052
2020-03-01,2089824.035
2020-04-01,1787508.148
2020-05-01,1970465.502
2020-06-01,2191810.715
2020-07-01,2220481.794
2020-08-01,2264019.666
2020-09-01,2260435.318
2020-10-01,2426427.551
2020-11-01,2537305.27
2020-12-01,2602621.479
2021-01-01,3233805.016
2021-02-01,3061757.245
2021-03-01,3074623.528
2021-04-01,3169581.129
2021-05-01,3190622.003
2021-06-01,3042818.585
2021-07-01,3099454.715
2021-08-01,3112274.593
2021-09-01,2337101.037
2021-10-01,3038606.541
2021-11-01,3111100.982
2021-12-01,3106388.612
2022-01-01,3833860.371
2022-02-01,3357571.613
2022-03-01,2727543.195
2022-04-01,3228150.343
2022-05-01,3384589.324
2022-06-01,3349262.593
2022-07-01,3356633.095
2022-08-01,3457384.886
2022-09-01,3330724.037
2022-10-01,3559623.516
2022-11-01,3907471.261
2022-12-01,4110640.028
2023-01-01,4711468.058
2023-02-01,4311287.179
2023-03-01,4285609.507
2023-04-01,4412809.932
2023-05-01,4850763.071
2023-06-01,4979428.507
2023-07-01,5360445.752
2023-08-01,5556057.895
2023-09-01,5653481.039
2023-10-01,5749366.677
2023-11-01,5842673.048
2023-12-01,6132958.125
2024-01-01,6989138.88
2024-02-01,6626528.537
2024-03-01,6684140.428
2024-04-01,6666833.455
2024-05-01,6557723.228
2024-06-01,6876968.832
