Date,CASH
2009-04-01,0.11918288101094296
2009-07-01,0.13294938060426997
2009-10-01,0.1280977841052382
2010-01-01,0.138119570114984
2010-04-01,0.14026792272068617
2010-07-01,0.14449276087487417
2010-10-01,0.1576612937143357
2011-01-01,0.1603466741800659
2011-04-01,0.1603200115347414
2011-07-01,0.15871564357152523
2011-10-01,0.15142955050341458
2012-01-01,0.15003700818827861
2012-04-01,0.1390289120382744
2012-07-01,0.13144601353960925
2012-10-01,0.14402016335990783
2013-01-01,0.16183251171693175
2013-04-01,0.1480249936809923
2013-07-01,0.14530419568311478
2013-10-01,0.14546906430243264
2014-01-01,0.16056291049085367
2014-04-01,0.1564349175855806
2014-07-01,0.14813843026119944
2014-10-01,0.1490941729781733
2015-01-01,0.15149721861209306
2015-04-01,0.15020913509825257
2015-07-01,0.14844509963921693
2015-10-01,0.1538844060973461
2016-01-01,0.13152871273763111
2016-04-01,0.15264661275167463
2016-07-01,0.16335721295849098
2016-10-01,0.15021242052279515
2017-01-01,0.13072649672962408
2017-04-01,0.1477716130206862
2017-07-01,0.15848579664094825
2017-10-01,0.06727271736416482
2018-01-01,0.056992368948486326
2018-04-01,0.06552406702685477
2018-07-01,0.06520378401271272
2018-10-01,0.0630098233389484
2019-01-01,0.0660487206945122
2019-04-01,0.06655732276835392
2019-07-01,0.06433080286396639
2019-10-01,0.06703750961679089
2020-01-01,0.07045030714804139
2020-04-01,0.07103482545936049
2020-07-01,0.07383337998431327
2020-10-01,0.07944392680624798
2021-01-01,0.07782251286456027
2021-04-01,0.06538616314505669
2021-07-01,0.06458798873744707
2021-10-01,0.06781584563482483
2022-01-01,0.06387473494016507
2022-04-01,0.07089047911000915
2022-07-01,0.05772297183448089
2022-10-01,0.05420378078925918
2023-01-01,0.06521439393999401
2023-04-01,0.08235142714796412
2023-07-01,0.09358359712836094
2023-10-01,0.08876037348040233
2024-01-01,0.08672658759535297
2024-04-01,0.08580657902888637
2024-07-01,0.09286958356009897
