Date,IR_diff_lag1
2009-04-01,14.9311333333333
2009-07-01,12.1175192248955
2009-10-01,-30.5065590592369
2010-01-01,-0.814589669018451
2010-04-01,0.499844560443943
2010-07-01,-1.27381487746879
2010-10-01,-0.890262090652474
2011-01-01,-0.0246675357256976
2011-04-01,1.64286172267902
2011-07-01,-0.832512682746482
2011-10-01,1.19196001553486
2012-01-01,3.2634672973324
2012-04-01,5.42973576658846
2012-07-01,-7.98248267262536
2012-10-01,3.80823333333333
2013-01-01,6.6267
2013-04-01,3.8101
2013-07-01,-15.5424333333333
2013-10-01,0.0277666666666674
2014-01-01,0.406766666666666
2014-04-01,4.36476666666667
2014-07-01,3.8398
2014-10-01,-1.8811
2015-01-01,2.2376
2015-04-01,6.77306666666666
2015-07-01,3.34973333333334
2015-10-01,2.39143333333333
2016-01-01,-4.54863333333333
2016-04-01,-0.802999999999997
2016-07-01,1.76379999999999
2016-10-01,-2.72936666666666
2017-01-01,-2.84993333333333
2017-04-01,-3.01446666666667
2017-07-01,0.260866666666667
2017-10-01,-0.985866666666666
2018-01-01,-0.174766666666669
2018-04-01,1.2964
2018-07-01,2.4
2018-10-01,0.721533333333335
2019-01-01,1.36296666666667
2019-04-01,0.635333333333332
2019-07-01,-1.33006666666666
2019-10-01,-0.191133333333337
2020-01-01,-0.549466666666664
2020-04-01,-2.44473333333333
2020-07-01,-3.86246666666667
2020-10-01,-2.92956666666667
2021-01-01,-1.16253333333333
2021-04-01,0.161966666666666
2021-07-01,0.054333333333334
2021-10-01,1.3313
2022-01-01,0.802066666666668
2022-04-01,0.341366666666667
2022-07-01,1.3156
2022-10-01,4.57943333333333
2023-01-01,9.3475
2023-04-01,-0.0333000000000006
2023-07-01,0.0191333333333326
2023-10-01,-3
2024-01-01,-2.66666666666667
2024-04-01,-1.66666666666667
2024-07-01,-0.833333333333332
