,Unnamed: 1,Unnamed: 2,Назва банку,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,в іноземній валюті,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,в іноземній валюті.1,Unnamed: 14,в іноземній валюті.2,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,в іноземній валюті.3
158.0,,99.0,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,32468.0,0.0,6.0,133722.0,22367.0,-5922.0,4.43,45863.0,43577.0,30133.0,2286.0,1156.0,-1366.0,2.98,60.0,0.0,0.0,0.0,0.0,0.0,675.0,0.0,2478.0,446.0,14969.0,1612.0,-31.0,1.89,401.0,-1.0,0.31,0.0,0.0,0.0,225379.0,63152.0
159.0,,100.0,БАНК СІЧ,14065.0,0.0,0.0,40382.0,0.0,0.0,0.0,167294.0,167044.0,1994.0,250.0,0.0,-411.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2032.0,1.0,0.0,0.0,1828.0,0.0,0.0,0.0,0.0,0.0,225190.0,15151.0
160.0,,101.0,"""СТАНДАРТ""",23584.0,0.0,0.0,27506.0,27506.0,-29.0,0.1,116525.0,108105.0,0.0,8420.0,0.0,-1161.0,1.0,51546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6660.0,46.0,0.0,0.6,249.0,0.0,0.13,0.0,0.0,0.0,224925.0,46400.0
161.0,,102.0,КРЕДИТ ОПТИМА БАНК,8471.0,0.0,0.0,64621.0,35080.0,-984.0,1.52,117890.0,86618.0,3690.0,31273.0,3647.0,-9276.0,7.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13562.0,7.0,-5.0,74.83,1351.0,-104.0,7.71,0.0,0.0,0.0,195533.0,41936.0
162.0,,103.0,"""ЦЕНТР""",4428.0,0.0,0.0,10367.0,10367.0,-42.0,0.41,81387.0,74554.0,0.0,6833.0,0.0,-4788.0,5.88,87710.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2573.0,4.0,0.0,2.52,278.0,-3.0,0.96,0.0,0.0,0.0,181933.0,11674.0
163.0,,104.0,БАНК ВЕЛЕС,28291.0,7435.0,0.0,40.0,40.0,-1.0,2.05,158580.0,158110.0,1901.0,471.0,293.0,-31226.0,19.69,10.0,-10.0,100.0,0.0,0.0,0.0,0.0,954.0,50.0,3.0,3506.0,21.0,-12.0,58.31,152.0,0.0,0.0,0.0,0.0,0.0,167793.0,3307.0
164.0,,105.0,ГРІН БАНК,7975.0,0.0,0.0,48066.0,19052.0,-3912.0,8.14,122007.0,77961.0,532.0,44046.0,3147.0,-21497.0,17.62,3024.0,-751.0,24.82,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3184.0,1481.0,-25.0,1.7,347.0,0.0,0.0,0.0,0.0,0.0,159900.0,22297.0
165.0,,106.0,БАНК НАРОДНИЙ КАПIТАЛ,36333.0,0.0,0.0,14002.0,4002.0,-4.0,0.03,95322.0,94541.0,0.0,781.0,0.0,-15420.0,16.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,343.0,21471.0,319.0,-2.0,0.48,284.0,-2.0,0.7,0.0,0.0,0.0,152724.0,14759.0
166.0,,107.0,ТММ-БАНК,10335.0,0.0,0.0,2985.0,0.0,0.0,0.0,81234.0,61176.0,0.0,20058.0,6843.0,-11121.0,13.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1122.0,101.0,0.0,59745.0,5.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,144442.0,10867.0
167.0,,108.0,УКРБУДІНВЕСТБАНК,18801.0,0.0,0.0,4001.0,0.0,-800.0,19.99,106424.0,60928.0,0.0,45496.0,9529.0,-8492.0,7.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,16839.0,30.0,-24.0,80.14,1445.0,0.0,0.0,0.0,0.0,0.0,138394.0,19684.0
168.0,,109.0,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,12788.0,0.0,0.0,25004.0,0.0,-280.0,1.12,25698.0,25289.0,0.0,410.0,0.0,-848.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24674.0,416.0,0.0,38346.0,61.0,-10.0,15.84,2095.0,-2.0,0.1,0.0,0.0,0.0,127942.0,29.0
169.0,,110.0,СХІДНО-ПРОМИСЛ.КОМЕРЦ.БАНК,39493.0,0.0,0.0,0.0,0.0,0.0,0.0,83327.0,59172.0,0.0,24155.0,4454.0,-6380.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,7216.0,969.0,-259.0,26.71,188.0,0.0,0.0,0.0,0.0,0.0,124570.0,13945.0
170.0,,111.0,БАНК СТОЛИЦЯ,3928.0,0.0,0.0,0.0,0.0,0.0,0.0,109376.0,72179.0,17820.0,37197.0,15547.0,-96478.0,88.21,12931.0,-12931.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94646.0,54060.0,-53994.0,99.88,7278.0,-3.0,0.04,0.0,0.0,0.0,118813.0,12043.0
171.0,,112.0,РАДАБАНК,52293.0,0.0,0.0,2539.0,2539.0,-51.0,2.0,59848.0,54573.0,2303.0,5275.0,119.0,-6949.0,11.61,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4357.0,0.0,233.0,3801.0,8.0,0.0,4.79,298.0,0.0,0.0,0.0,0.0,0.0,116379.0,11463.0
172.0,,113.0,"""ЗЕМЕЛЬНИЙ КАПІТАЛ""",25486.0,0.0,0.0,0.0,0.0,0.0,0.0,69967.0,52192.0,2127.0,17776.0,9930.0,-6411.0,9.16,8435.0,-48.0,0.57,416.0,-416.0,100.0,0.0,0.0,0.0,375.0,11069.0,69.0,-61.0,88.48,7283.0,0.0,0.0,0.0,0.0,0.0,116164.0,21688.0
173.0,,114.0,СОЦКОМБАНК,4531.0,0.0,0.0,5.0,5.0,0.0,2.0,769519.0,577371.0,186949.0,192148.0,100858.0,-679571.0,88.31,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,18987.0,364.0,0.0,0.09,51.0,0.0,0.0,50.0,0.0,0.0,113964.0,20866.0
174.0,,115.0,"""ФАМІЛЬНИЙ""",21991.0,0.0,0.0,797.0,797.0,-9.0,1.19,36213.0,357.0,0.0,35856.0,21356.0,-9488.0,26.2,1.0,0.0,0.0,14616.0,0.0,0.0,0.0,0.0,221.0,0.0,32678.0,1092.0,-58.0,5.32,328.0,0.0,0.0,0.0,0.0,0.0,98381.0,31640.0
175.0,,116.0,БАНК АЛЬЯНС,16422.0,0.0,0.0,2500.0,0.0,-25.0,1.0,69748.0,57347.0,3050.0,12401.0,1104.0,-4361.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7853.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,92151.0,6813.0
