Date,IR
2006-03-31,2.265066666666667
2006-06-30,5.215533333333333
2006-09-30,2.2784333333333335
2006-12-31,2.1233
2007-03-31,1.2523
2007-06-30,1.5886333333333333
2007-09-30,0.9490666666666666
2007-12-31,2.4528
2008-03-31,6.982466666666667
2008-06-30,16.816266666666667
2008-09-30,7.251633333333333
2008-12-31,22.182766666666666
2009-03-31,34.30028589156214
2009-06-30,3.7937268323252304
2009-09-30,2.97913716330678
2009-12-31,3.478981723750723
2010-03-31,2.205166846281936
2010-06-30,1.3149047556294615
2010-09-30,1.290237219903764
2010-12-31,2.9330989425827876
2011-03-31,2.100586259836305
2011-06-30,3.292546275371169
2011-09-30,6.55601357270357
2011-12-31,11.985749339292026
2012-03-31,4.003266666666666
2012-06-30,7.8115
2012-09-30,14.4382
2012-12-31,18.2483
2013-03-31,2.7058666666666666
2013-06-30,2.7336333333333336
2013-09-30,3.1404
2013-12-31,7.505166666666667
2014-03-31,11.344966666666666
2014-06-30,9.463866666666666
2014-09-30,11.701466666666667
2014-12-31,18.47453333333333
2015-03-31,21.82426666666667
2015-06-30,24.2157
2015-09-30,19.667066666666667
2015-12-31,18.86406666666667
2016-03-31,20.627866666666666
2016-06-30,17.8985
2016-09-30,15.048566666666666
2016-12-31,12.0341
2017-03-31,12.294966666666667
2017-06-30,11.3091
2017-09-30,11.134333333333332
2017-12-31,12.430733333333334
2018-03-31,14.830733333333333
2018-06-30,15.552266666666668
2018-09-30,16.915233333333333
2018-12-31,17.550566666666665
2019-03-31,16.2205
2019-06-30,16.029366666666665
2019-09-30,15.4799
2019-12-31,13.035166666666667
2020-03-31,9.1727
2020-06-30,6.243133333333333
2020-09-30,5.0806
2020-12-31,5.242566666666666
2021-03-31,5.2969
2021-06-30,6.6282
2021-09-30,7.430266666666667
2021-12-31,7.771633333333334
2022-03-31,9.087233333333332
2022-06-30,13.666666666666666
2022-09-30,23.014166666666668
2022-12-31,22.980866666666667
2023-03-31,23.0
2023-06-30,20.0
2023-09-30,17.333333333333332
2023-12-31,15.666666666666666
2024-03-31,14.833333333333334
2024-06-30,13.333333333333334
