Date,Bank,AE,LEV,CASH,NCI,NII,TA,SEC,LAS,OVDP,IR,IR_lag1,IR_lag2,IR_lag3,IR_lag4,IR_lag5,IR_lag6,IR_lag7
2012-01-01,ТАСКОМБАНК,0.0078697628135132,0.0896127812895491,0.2463898600522925,0.0029673355171987,0.004300946007767,0.0023419736959685,0.0915720825861775,,,11.985749339292026,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194
2012-01-01,УКРГАЗБАНК,0.0096544250062935,0.1544324687840717,0.1225692313970713,0.0015584764337027,0.0125363231907164,0.017749889604247,0.2308753578484499,,,11.985749339292026,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194
2012-01-01,УКРЕКСІМБАНК,0.0041772656603522,0.236061652839181,0.1149372195825663,0.001949990702822,0.0130053838416312,0.073417561269649,0.216311557520638,,,11.985749339292026,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194
2012-01-01,УКРСИББАНК,0.0754341479466905,0.0383022438901564,0.2291309806116429,0.0039010617882051,0.0205835841910688,0.0321304260353401,0.0187605472287206,,,11.985749339292026,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194
2012-01-01,УНІВЕРСАЛ БАНК,0.0209992950504182,0.0704319692700792,0.117284419685659,0.0012521947456107,0.0207023031190343,0.0063164124031554,0.0033334597238547,,,11.985749339292026,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194
2012-04-01,ІНГ БАНК УКРАЇНА,,,,,,,,,,4.003266666666666,11.985749339292,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946
2012-04-01,А - БАНК,0.0135486527837584,0.1775627160916956,0.1335595463511683,0.0083931754071429,0.0062915387053487,0.0011755019754113,0.073954993779774,,,4.003266666666666,11.985749339292,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946
2012-04-01,АКОРДБАНК,0.0171258198843064,0.170853575345168,0.1086002562892685,0.0027376199898591,0.0115864497579353,0.000501030857586,0.0178738270315519,,,4.003266666666666,11.985749339292,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946
2012-04-01,БАНК АЛЬЯНС,0.0043271069757359,0.851777761255013,0.1373374781892204,0.0010207691195553,0.0130785846897511,0.0001354109264532,,,,4.003266666666666,11.985749339292,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946
2012-04-01,БАНК ВОСТОК,0.0085770864448083,0.8366783326624281,0.0320608918397247,0.0001873677383578,0.0094855334277504,0.0004066531076336,,,,4.003266666666666,11.985749339292,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946
2012-04-01,БАНК КРЕДИТ ДНІПРО,0.0082331867392396,0.0698334611717408,0.0632445509449087,0.002041626919088,0.0050081572988676,0.0081814029141064,0.025317513509075,,,4.003266666666666,11.985749339292,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946
2012-04-01,КРЕДІ АГРІКОЛЬ БАНК,0.005485969920466,0.1250669455684195,0.1965652684203022,0.0031323148294592,0.0201671040246708,0.0038465641708594,0.0003068241695715,,,4.003266666666666,11.985749339292,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946
