Date,Bank,AE,LEV,CASH,NCI,NII,TA,SEC,OVDP,IR,IR_lag1,IR_lag2,IR_lag3,IR_lag4,IR_lag5,IR_lag6,IR_lag7
2011-07-01,РАЙФФАЙЗЕН БАНК АВАЛЬ,0.0151578662130849,0.1169796694895237,0.1385350162385742,0.0056418235734767,0.019790592133442,0.0556729277398656,0.1969969510877982,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,СІТІБАНК,0.0069125201468683,0.108744063265804,0.2054697013890937,0.0009912886381291,0.0108200806705075,0.0057202223514996,0.2633554104555069,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,СЕНС БАНК,0.0106127467251446,0.1102232445627741,0.0312446925584184,0.0017574720526996,0.0143361585380066,0.029090930092699,0.0369483217897944,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,ТАСКОМБАНК,0.0155081938936397,0.0870602092631761,0.2120582437579126,0.0070839192127305,0.0112393547043713,0.0021209113298276,0.1312547737953596,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,УКРГАЗБАНК,0.0083445822927706,0.1144763941486665,0.0380121491085688,0.0015293859845827,0.0107429983215444,0.0173956452050739,0.3856215525492749,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,УКРЕКСІМБАНК,0.0031604470289295,0.2202445959432864,0.1658668396352093,0.0015820732493515,0.0094293110439946,0.0808583729597536,0.193837418252029,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,УКРСИББАНК,0.0196376370323566,0.09656840693354,0.1591906281052879,0.0029467463204721,0.0086274530815668,0.0467758946152852,0.1618692585998961,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,УНІВЕРСАЛ БАНК,0.0171264683426739,0.1180455552409013,0.1025298488770142,0.0010442408660126,0.0215401397925634,0.0070443966939748,0.0135236293388215,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-07-01,ФІДОБАНК,0.0144006666818905,0.1368825051372857,0.1908583372931126,0.0052825905996977,0.0094340242379158,0.0032305637796527,0.097232888513783,,3.292546275371169,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072,2.97913716330678
2011-10-01,ІНГ БАНК УКРАЇНА,,,,,,,,,6.55601357270357,3.29254627537117,2.10058625983631,2.93309894258279,1.29023721990376,1.31490475562946,2.20516684628194,3.47898172375072
