Date,NII,IR,AE,NCI,LEV,TA,CASH
2006-04-01,,2.265066666666667,,,,,
2006-07-01,,5.215533333333333,,,,,
2006-10-01,,2.2784333333333335,,,,,
2007-01-01,,2.1233,,,,,
2007-04-01,,1.2523,,,,,
2007-07-01,,1.5886333333333331,,,,,
2007-10-01,,0.9490666666666666,,,,,
2008-01-01,,2.4528,,,,,
2008-04-01,,6.982466666666667,,,,,
2008-07-01,,16.816266666666667,,,,,
2008-10-01,,7.251633333333333,,,,,
2009-01-01,,22.182766666666662,,,,,
2009-04-01,0.0147207543501601,34.30028589156214,0.0127430346700306,0.003185493505579,0.1813386817010233,0.001090418192718,0.0869119061525059
2009-07-01,0.0148577175992274,3.7937268323252304,0.0130270436120689,0.0031805293211429,0.1720126136528952,0.0009913309531115,0.1000843448709317
2009-10-01,0.0138319314972353,2.97913716330678,0.0121309140329441,0.0037081015500974,0.1748029062392388,0.0009856388842778,0.0967532963614904
2010-01-01,0.0138024966571115,3.478981723750723,0.0142625217694308,0.0034266777414269,0.1959148640384983,0.0010793822261033,0.114139098738314
2010-04-01,0.0132641017246083,2.205166846281936,0.0120052458797656,0.0027442240268392,0.1957141299592179,0.0010212697726949,0.110555997694137
2010-07-01,0.0126169009847553,1.3149047556294615,0.0123682837347138,0.0028951806276514,0.1873423856455431,0.00099055007887,0.1296672325599458
2010-10-01,0.0126856682263528,1.290237219903764,0.0107472214162261,0.0032780678439278,0.1785785137773694,0.0011639525107655,0.1425514175513761
2011-01-01,0.0119664838627161,2.9330989425827876,0.0127028389505284,0.0033134830603723,0.1666603074586242,0.0012012586960251,0.1364701137994026
2011-04-01,0.0115534203267285,2.100586259836305,0.0115259367278219,0.0027499812937684,0.1570202447403899,0.0012244411901813,0.1268059615610451
2011-07-01,0.0118883241977783,3.292546275371169,0.0116537182839368,0.0029358157071359,0.158487887249006,0.0012839267914368,0.1377687170664969
2011-10-01,0.0118888580672713,6.55601357270357,0.0111098846051656,0.0031633977783912,0.1571583450160333,0.0013233079367101,0.1236601933119014
2012-01-01,0.0116287822681103,11.985749339292026,0.0119405321184899,0.003205014382613,0.1555627218100809,0.0014099349279082,0.1112666129478503
2012-04-01,0.0107757947153384,4.003266666666666,0.0106299146175868,0.0026098571721556,0.1560697517813137,0.0015052547642194,0.1122356102251998
2012-07-01,0.0108314510115056,7.8115,0.0104009331358686,0.0025717459433767,0.1651108161253004,0.0015233422405172,0.1007671719229574
2012-10-01,0.0113217834847795,14.4382,0.0106341593294518,0.0028532065159504,0.1712323850819909,0.001402392346618,0.1040388174964041
2013-01-01,0.011347979736489,18.2483,0.0113501189207059,0.0030734636988225,0.1734688479649769,0.0015586486998271,0.1166040072300641
2013-04-01,0.0096368250015853,2.705866666666666,0.0106933751474114,0.0026013360971091,0.1754355146980282,0.0014021384688445,0.1151949639779015
2013-07-01,0.0100064242646855,2.7336333333333336,0.0112400544636838,0.0028088622633911,0.1715094604510252,0.0013923264391813,0.1057624859048163
2013-10-01,0.0098071495895207,3.1404,0.010606286447494,0.0029263654416104,0.1629247815019946,0.0014636777537056,0.1226142041448759
2014-01-01,0.0106612337522594,7.505166666666667,0.011881622116037,0.0031550973100077,0.1607719305063051,0.0012604208690458,0.1275372370110663
2014-04-01,0.0111435184927353,11.344966666666666,0.0100738782921562,0.002225011718653,0.1699764188309446,0.0011792693433619,0.1163346720259598
2014-07-01,0.0115195722990384,9.463866666666666,0.0112642018076812,0.0025593422831666,0.1742117650562199,0.0010944939733468,0.1075561059083876
2014-10-01,0.0118020718733061,11.701466666666668,0.0128909708048978,0.0032223498599065,0.1769390444292878,0.0011408808107734,0.1086760890916141
2015-01-01,0.0123275104742469,18.47453333333333,0.0149632324442567,0.003827004614053,0.1632933554172956,0.0010985908413338,0.1119080016018159
2015-04-01,0.0117344334432798,21.82426666666667,0.0120857819005166,0.0037409086456013,0.1643467649742529,0.0010882411895431,0.1058676062078323
2015-07-01,0.0140019831494234,24.2157,0.0131133361680093,0.0031607616780729,0.1976610583077957,0.0010598652269244,0.1068084055770884
2015-10-01,0.0151048474155096,19.667066666666667,0.01402769583369,0.0036554142669585,0.2066067861384285,0.0010595375571437,0.1111428650425304
2016-01-01,0.015708119165049,18.86406666666667,0.016671863201588,0.0033157268285589,0.1937342070331907,0.0011695099112581,0.0952529336089915
2016-04-01,0.0154907310692797,20.627866666666662,0.0156547759749766,0.0030863020688799,0.2195809604175342,0.0009663188451843,0.1179444378456222
2016-07-01,0.0144264190601213,17.8985,0.0156209041195385,0.0035524233062528,0.2270671844991877,0.0009767880058202,0.1283908776409274
2016-10-01,0.0149912708412046,15.048566666666666,0.0170280969767778,0.0041849018628608,0.2253917418744523,0.001205795460335,0.1261912447509647
2017-01-01,0.0138480810879797,12.0341,0.0195581447664109,0.0047121103406405,0.2299846872131597,0.0011690006569722,0.105655283674519
2017-04-01,0.0156291016530748,12.294966666666667,0.0164365712146963,0.0047577841628231,0.2290345113805391,0.001116448676835,0.1061902565247872
2017-07-01,0.0153891533985638,11.3091,0.0189432244654428,0.0053885634251843,0.2630247981289979,0.0011848318787477,0.1200771921147587
2017-10-01,0.0166879307560502,11.134333333333332,0.0177501863886807,0.0061063500438945,0.26368553127113,0.0012230292190125,0.0594884291497032
2018-01-01,0.0137502814809039,12.430733333333334,0.017766293831252,0.0048910695403688,0.2007309401142786,0.0011274958192738,0.0469911460065028
2018-04-01,0.0104265243904641,14.830733333333333,0.0106366107440186,0.0034774332746966,0.1985586349775526,0.0010563275223939,0.0555635419922271
