Date,"А - БАНК",АЛЬПАРІ БАНК,АЛЬТБАНК,АГРОПРОСПЕРІС БАНК,АСВІО БАНК,КОНКОРД,ІНДУСТРІАЛБАНК,ЛЬВІВ,БАНК 3/4,БАНК АЛЬЯНС,БАНК АВАНГАРД,БАНК КРЕДИТ ДНІПРО,БАНК ФАМІЛЬНИЙ,БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ,БАНК ГРАНТ,БАНК ПОРТАЛ,"Траст-капітал",БАНК УКРАЇНСЬКИЙ КАПІТАЛ,БАНК ВОСТОК,БТА БАНК,АКОРДБАНК,ГЛОБУС,ПРИВАТБАНК,СІТІБАНК,КЛІРИНГОВИЙ ДІМ,КОМІНВЕСТБАНК,КРЕДІ АГРІКОЛЬ БАНК,КРЕДИТ ЄВРОПА БАНК,КРЕДИТВЕСТ БАНК,КРИСТАЛБАНК,ДОЙЧЕ БАНК ДБУ,ЄВРОПРОМБАНК,ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК,ПУМБ,АЙБОКС БАНК,ІДЕЯ БАНК,МІЖНАРОДНИЙ ІНВЕСТИЦІЙНИЙ БАНК,ІНГ БАНК УКРАЇНА,КРЕДОБАНК,МЕТАБАНК,МОТОР-БАНК,МТБ БАНК,ОКСІ БАНК,ОЩАДБАНК,ОЩАДБАНК,ПІРЕУС БАНК МКБ,ПІВДЕННИЙ,ПОЛІКОМБАНК,ПОЛТАВА - БАНК,ПРАВЕКС-БАНК,ПРОКРЕДИТ БАНК,РАДАБАНК,РАЙФФАЙЗЕН БАНК АВАЛЬ,РВС БАНК,ФІДОБАНК,СЕНС БАНК,СКАЙ БАНК,ТАСКОМБАНК,УКРАЇНСЬКИЙ БАНК РЕКОНСТР.ТА РОЗВ.,УКРБУДІНВЕСТБАНК,УКРЕКСІМБАНК,УКРГАЗБАНК,УКРСИББАНК,ЮНЕКС БАНК,УНІВЕРСАЛ БАНК
2019-01-01,421484.38357,197675.20128,350033.04517,390729.1536,281742.68496,127167.01364,,389392.42809,322883.186,297794.69188,699928.95922,1609824.79424,273997.21023,281506.75178,120184.10955,17037.26026,,,808857.0563200001,190408.27604,481104.6574,397742.80718,179115025.21424,10336478.2539,625445.61674,98.19519,2101223.54668,119983.5996,156224.65858,530464.85174,625919.54646,,450591.7815,11619074.28123,80175.3424,348497.0236,5135327.63587,1903986.111,4033733.55521,238364.4769,300768.49325,1436736.18474,42083.67125,113640699.83462,4975302.09976,719513.18683,3396585.43461,30049.31507,693410.0306500001,,1152556.16438,394473.08361,8822461.62565,286988.39283,1012602.94042,6471863.52461,47102.9041,1417381.66802,169042.79297,,61074634.576960005,22494983.90901,5041313.31858,333645.69589,895589.4185
2019-02-01,501242.73973,213159.06754,241407.80947,360819.5102,342722.52113,66028.93176,,354061.21187,228231.42035,46471.16229,687486.37929,1361536.87224,233080.54288,268591.02807,110229.0413,13005.69868,,,1881878.94077,232307.72817,561027.18833,414153.2691,179306213.84159002,10382491.90898,816494.5854199999,98.19519,3454225.11402,55360.66002,178378.8017,715370.66273,240105.2064,,565247.6734,11796226.2732,80035.0688,279781.18074,5819073.89291,3060510.605,3795205.95156,189273.49031,240406.5754,1721523.95507,20038.9041,113214959.27846,5478041.35603,543623.58062,3600677.33533,53868.08305,619892.2134499999,,1033555.61644,377334.3711,9453838.71641,221368.11009,1045678.61207,8290827.16646,15051.78083,2118052.64179,169142.2123,,57829558.70659,24279378.75696,5460224.56243,270826.24422,1312060.85488
2019-03-01,561124.38356,198863.21636,308393.5636,490846.5961,338198.49188,0.0,,340631.35788,356947.10194,52263.65958,726169.97253,1366600.2629,227465.63797,610699.84763,110198.90437,0.0,,,1167683.05143,216285.66738,545872.72743,501691.22024,177267932.93074,10451586.80197,784953.65979,0.0,2142832.1298700003,107378.29491,55084.28163,726380.14205,215334.93526,,400476.204,12258526.63028,0.0,269865.16329,5090538.62872,2508617.4,3499313.78805,108821.56771,160371.5066,1513919.5157700002,8003.50688,102038007.13997,4307502.18515,462039.25484,3220872.85474,49728.06232,426542.2629100001,,1174038.90411,318338.27514000004,10719660.8053,298386.79534,1388990.75642,9830219.37829,30013.1508,1735854.38319,171215.71915,,58030651.84066,25109930.96023,5663104.46577,231177.18372,1693317.41273
2019-04-01,451311.78082,192842.35472,325255.40935,360942.9267,291492.40114,41053.91787,,284663.57318,307148.05067,108354.56436,749888.5030400001,1785808.45516,237476.87758,348234.56053,70200.54801,3003.94521,,,641499.0059300001,200508.37708,528689.49151,550494.13813,173906960.95887,10288857.47269,935472.88761,15000.0,2323744.64585,164329.36841,70164.28606,684098.3216499999,521586.72686,,400887.184,9664363.60477,0.0,342879.40993,3976887.23943,1507389.945,3291542.25189,82900.16226,195690.41145,1139957.39953,3003.94521,105073035.15684,3810282.91259,452326.84935,2541128.18889,30108.51172,532477.20632,,1105424.65753,284551.45454,8186933.818779999,275831.78104,770063.82916,7906936.33862,32085.47948,2195462.50606,164397.91974,,58311438.54245,29630302.4635,5987083.05945,382864.2058,2334557.18395
2019-05-01,381104.65753,149734.42108,309144.72166,240812.8376,283489.63896,73155.00029,,359241.66454,382738.24158,103484.5745,953823.05736,1864752.63807,265627.64294,292141.29117,151548.28805,32081.5344,,,809510.5018900001,196507.20352,557852.09054,530062.08091,168163428.10127,9779731.54674,830071.8501500001,0.0,2321411.85347,117285.75,20118.29734,689094.5008400001,522089.81254,,702244.619,7944140.89904,15038.21925,218741.90914,2140811.36543,1307689.331,3520169.86076,146885.50059,180951.3702,1167922.34035,0.0,104102892.71532,3146685.09605,415627.04159,1750026.24839,16021.50751,457722.20634,,935503.56164,235514.46313,8051898.462169999,275963.35616,562887.6558699999,7305109.85885,40084.93167,1356084.78151,164679.87396,,56751129.96429001,29723124.75058,2936186.48435,307338.18107,1728357.19846
2019-06-01,150000.0,225018.08707,306059.89799,170076.9757,190697.65994,40018.08217,,409117.71204,400442.11662,135331.83184,576145.85124,1636704.46373,238522.42565,237327.68144,140063.83557,40186.9178,,,933098.41164,190141.75313,588904.70915,462371.2027,169565367.92524,9314133.72852,954086.39296,88000.0,3634662.06824,119498.25,95040.32591,894395.3528400001,755323.1587,,890391.2724,8971568.93804,0.0,391402.95757,3112199.88302,2301099.308,3663890.03055,200382.64466,200090.411,1273153.39141,11004.67126,101463740.94923,3332078.17849,446828.65838,1953669.90736,16268.73577,565252.32408,,770369.17808,182800.73139,7958263.14521,265116.64383,547597.70976,8678115.294189999,54024.57532,1259859.76326,171991.89765,,59607927.46518999,27795486.01201,4080651.61575,280127.12329,1550100.01648
2019-07-01,200308.90412,196897.48701,280282.71965,195347.24895,194794.0822,90152.8767,,375336.34329,538942.72173,212376.11229,748455.4061400001,1060606.15082,244569.98845,32714.62635,135251.23285,55258.21915,,,828772.13129,197512.33542,590599.60493,555334.6496700001,165316594.74345002,10984910.61278,423484.34134,70000.0,2043060.51128,151093.7183,79134.19177,865419.14996,500849.31501,,751328.3675,9112972.5459,25042.46575,287255.18305,2697016.48608,1803443.022,3412815.624,183255.53806,210378.6303,1055277.34876,8013.58904,95486999.36776,3748006.73935,465654.16506,1792022.1261,15931.00866,488440.78669,,801534.24658,199855.44614,6653161.21425,205364.65752,400692.98418,5756563.35739,60109.58903,1846379.6436,174998.99546,,57672677.687060006,23552404.30896,6330568.68311,240407.6712,1768245.25916
2019-08-01,350739.72606,202020.29676,389502.16416,130196.1276,143016.44664,57023.42472,1007561.43403,414745.39959,588896.51518,189843.00202,782877.50929,1431839.11576,229754.28041,122802.26148,155230.5481,77459.31522,31289.25022,269754.59358,1127258.18181,204693.07214,764955.21013,439376.00712,162153351.5816,9403698.17927,322897.55037,0.0,2750516.18944,386156.21024,15006.16438,593758.6538999999,450184.932,82073.07678,771029.9502,9487653.20443,90036.9864,320313.06007,1811681.94391,1604462.928,3052068.47952,288427.02466,230452.0548,1090282.47339,11004.52056,100443009.95041,4010473.31618,448162.31937,1997451.69432,7604.82469,646264.51567,2318599.25864,1504191.78082,220580.27381,11857502.13061,295323.83585,336208.64905,8249446.17599,115130.68505,972399.22106,173913.35738,150061.644,47575376.60076,25739198.99565,3655456.38348,170189.04123,1748613.97431
2019-09-01,341009.31436,184730.73657,364948.7494,160350.1878,193360.82195,30024.6576,1035604.98038,472745.4632,497047.12854,50298.56948,1024032.44944,684856.6195700001,240556.19547,172797.80758000002,145355.06874999998,65423.83575,24330.90973,218921.14821,1233830.45352,213887.71558,952023.22031,410427.89095,162417983.07769,9792208.42681,299428.81567,45000.0,2661537.08501,483988.02476000006,55045.19546,731643.164,240197.21657,55095.96176,521605.1414,6434151.584770001,0.0,237458.18,1432126.66557,1707117.73,2884025.8887,233133.89627,50209.589,1188314.35557,15012.3288,98354994.81656002,3176851.24002,489605.02182,1235100.83611,7695.72503,540351.6901,2149301.91451,1757335.61644,171422.54538,7513824.99303,125203.83561,297175.54909,6500063.49937,73127.3974,826479.06111,173038.03837999998,128138.90411,47230850.35361,27947149.27063,3506206.5517899995,150359.17807999998,1303330.7896
2019-10-01,210632.46578,181885.43101,226018.84043,230616.9612,119276.04108,20099.4521,912892.25548,556910.45226,431064.2071600001,158414.26131,1047608.64836,1221921.56239,238268.78561,205449.19149,150471.37005,51287.17821,20354.90519,177371.63694,1088800.39641,217518.50561,1010948.01091,597223.46561,164654700.43159,12932055.90665,322835.58192,30000.0,3853103.04198,396747.94441,35013.9041,772273.2864,347137.84922000003,25055.65132,681870.3613,9954325.1613,10003.9726,320370.10267,860533.0744400001,2009938.66,3007503.6925,181467.23093,80169.04100000001,1173314.58458,31012.31506,99477288.3662,5320321.53044,531472.20873,2099225.69535,39400.90872,529378.8192799999,2205391.94435,2175392.73973,291324.14232,12192996.46202,165065.5479,332349.55937000003,8265840.37262,124232.27404,1267384.10045,173143.93315,150196.84928,46418343.85231,28931561.19305,6206436.64504,268792.76709,2354929.88962
2019-11-01,270397.80808,175761.82444,262011.97511,305886.8182,163417.82178,70025.89020000001,889302.07986,503709.77614,435153.6501,287058.51836,380768.57459,1103982.192,245693.90192,208190.75557,150651.37,35012.945100000004,23386.26337,156680.56552,1123369.76767,216991.07738000003,757536.8372300001,518539.14405,163753645.85726997,11795619.84412,332803.55198,157.76491,3970911.98184,467304.15107,33012.20538,623965.85852,790351.7785,61237.08222,492266.8499,9272375.74524,85180.41085,337899.92378,773707.21947,2515821.9250000003,3342282.14959,222438.20603,125344.178,1180409.41554,34125.79453,101484502.55694,6745449.821180001,556358.51199,2629138.9256100003,0.0,598101.9393,2195706.9976000004,2858536.16212,233853.72108,12099544.35941,200193.1502,406443.08604,10285079.34027,128388.48299,1086290.73001,173389.81032999998,205373.76666,46889857.11702,28873670.418410003,6164429.30353,306304.5893,2219280.61958
2019-12-01,230175.47944,139833.08380000002,147306.45005999997,270215.8233,248195.50686,0.0,691259.28592,521150.1121600001,404555.02123,595299.18246,715698.3178300001,1100879.457,256982.52363,230075.37334,140112.32885999998,28103.60282,32286.85555,137157.16253,744093.29517,217507.95014000003,829179.18585,621600.23502,164116174.64659,10599827.53871,247279.5776,157.76491,3290549.92565,425167.43397,10007.39589,574878.6965200001,700544.60907,74071.81816000001,550449.8315,10148714.43528,115135.82185,351134.67250999995,744401.30357,2001694.36,2791462.9084,223910.927,180138.63090000002,1233562.54909,31025.4522,96793929.31612,6038761.911529999,633489.73481,3863047.53331,20014.79452,682558.9732799999,1993119.62056,2517090.0,283244.50285,12517569.61648,190140.54795,543847.71916,11895072.37593,62156.1556,275628.39212,171452.95532,170131.23286999998,45398208.27587,31618080.59988,4647339.236690001,300243.83561,3124693.21988
2020-01-01,270381.50685,134494.41077000002,863336.44598,369000.79414,254532.43112,175165.26038,1124162.2384799998,640336.63555,447643.55315,562403.83205,800225.04579,1502243.835,333385.53959,401807.95658,225366.02723,25096.42175,56097.08219,256980.966,1612575.50436,240856.26108,1454893.8339500003,1542118.03616,178323676.26498002,18073597.85824,696536.65919,163000.0,3961543.992240001,559048.32186,195304.31498,780329.52046,1660645.94239,48090.65712,1081656.23695,12123074.83815,295404.1774,469741.45309,847532.46178,2504615.625,3523400.6584900003,189769.36399,260386.5752,1367869.94226,69110.52063,111388508.37715998,10824031.73833,767604.30991,7547627.01382,42052.93151,715822.6003899999,2661672.8461100003,3987106.9863,565084.51933,13853207.991920002,150191.98631,962727.09933,15278339.56219,144005.64253,2605968.86538,169942.64272,294333.48427,52990996.78123,29211529.827990003,10917658.53463,470769.0411,3550311.4958
